# bin_edges hist err
5.907837911587943396e-08 3.455058500031135083e+01 2.443095294768236769e+01
1.068000432514575467e-07 9.556141070644903479e+00 9.556141070644903479e+00
1.930697728883249708e-07 1.321538147056604657e+02 2.643076294113209457e+01
3.490254878959579243e-07 2.076133072481968043e+02 2.463916650391249519e+01
6.309573444801929638e-07 3.477702606157681657e+02 2.371773491761252473e+01
1.140624923851320228e-06 5.511779508981541085e+02 2.220759250490930370e+01
2.061986009502219260e-06 1.940234995697416025e+02 9.799666589664962402e+00
3.727593720314938057e-06 5.207579660137796509e+02 1.194072415550848021e+01
6.738627168030940877e-06 4.278593277460346371e+02 8.049923966865437208e+00
1.218187912010114744e-05 4.462953808815851744e+02 6.114782916327037299e+00
2.202201949987373474e-05 4.300756102462258923e+02 4.464479428285984319e+00
3.981071705534969458e-05 4.414813354811424233e+02 3.364210517789071542e+00
7.196856730011514085e-05 4.298019705603275611e+02 2.468821910392141827e+00
1.301025216910830151e-04 4.258808461407587629e+02 1.827797956418925285e+00
2.351952635070956471e-04 4.158362690869841458e+02 1.343302699640159359e+00
4.251786303382885782e-04 3.931245452496967232e+02 9.714184693716848562e-01
7.686246100397730154e-04 3.487390377424064809e+02 6.804874656101288499e-01
1.389495494373136101e-03 2.043388013557219551e+02 3.874126877662267820e-01
2.511886431509576835e-03 6.320466350563232538e+01 1.602512966404452399e-01
4.540909610972469757e-03 1.686703215109906040e+01 6.157081442669708193e-02
8.208914159638244779e-03 4.041772615757383669e+00 2.241661700615744240e-02
1.483981788967563172e-02 9.966066159659553447e-01 8.278937188977174289e-03
2.682695795279721809e-02 2.955994155925588118e-01 3.353459469215074821e-03
4.849693428528190769e-02 6.100815769787304443e-02 1.133088424444014418e-03
8.767123872968668463e-02 1.003469331351726328e-02 3.417830105927884910e-04
1.584893192461110933e-01 1.918979100837487793e-03 1.111634746011756265e-04
2.865120269663776198e-01 1.424856457815187839e-04 2.252895872747808455e-05
5.179474679231201861e-01 1.556665706207451775e-04 1.751385751840468650e-05
9.363292088239397737e-01 3.400791476477255017e-04 1.925319043364943379e-05
1.692666615037872635e+00 1.284287204796810537e-04 8.799790929027335057e-06
