# bin_edges hist err
5.907837911587943396e-08 2.116720661441780180e+02 2.323402770080448576e+01
1.930697728883249708e-07 3.605302567901576936e+02 1.677338556570738959e+01
3.490254878959579243e-07 7.066519546821461972e+02 1.746550811647649226e+01
6.309573444801929638e-07 1.194899361527021711e+03 1.689167350881475471e+01
1.140624923851320228e-06 1.957183076367855620e+03 1.607871403997335236e+01
2.061986009502219260e-06 7.662660456475438195e+02 7.482624433928013907e+00
3.727593720314938057e-06 1.565629576091669605e+03 7.954946015955562721e+00
6.738627168030940877e-06 1.126085685223411247e+03 5.017726881070211142e+00
1.218187912010114744e-05 9.623299328869483134e+02 3.449942592754843496e+00
2.202201949987373474e-05 8.263611452025326116e+02 2.377734651882878136e+00
3.981071705534969458e-05 7.441178452688884590e+02 1.678138781310983152e+00
7.196856730011514085e-05 6.410982302496157672e+02 1.158504898518582626e+00
1.301025216910830151e-04 6.108751017093047722e+02 8.410859320511419046e-01
2.351952635070956471e-04 6.640949483837756588e+02 6.522405817100148662e-01
4.251786303382885782e-04 7.090574762718620150e+02 5.012588114716763910e-01
7.686246100397730154e-04 3.348984984092929835e+02 2.562161324666448747e-01
1.389495494373136101e-03 1.117846757848786297e+02 1.100955025897110140e-01
2.511886431509576835e-03 3.034375088855475511e+01 4.266204271232101192e-02
4.540909610972469757e-03 9.549321684005329658e+00 1.780007561471036101e-02
8.208914159638244779e-03 2.535554300546434714e+00 6.821825635350693175e-03
1.483981788967563172e-02 6.466008160538584404e-01 2.562187172043063014e-03
2.682695795279721809e-02 3.192192170149898423e-01 1.338954483248785878e-03
4.849693428528190769e-02 7.550841737754934724e-02 4.843368969864258154e-04
8.767123872968668463e-02 1.296286484346411728e-02 1.492550172745106725e-04
5.179474679231201861e-01 1.163558719648940566e-03 1.839747872719983630e-05
1.692666615037872635e+00 8.135585155441538412e-05 2.691012389951219791e-06
