# time Ni NiV
0.000000000000000000e+00 3.040238054688105862e-13 2.655340393399914181e-13
8.963999999999999972e-13 1.683424222108247147e-03 1.141909020803083721e-06
1.661999999999999986e-12 3.779648373805262820e-03 2.684726304639016498e-06
1.952000000000000164e-12 5.884465247917534773e-03 3.900046663306303529e-06
2.352000000000000075e-12 7.681206166052969436e-03 4.140842205338598792e-06
3.258000000000000052e-12 5.881048124170666636e-03 3.828381558496762662e-06
4.057999999999999874e-12 3.783536559552179435e-03 5.314942211417677503e-06
4.822999999999999947e-12 6.020495723321416491e-03 3.987138419427603450e-06
4.906999999999999993e-12 7.975718617027519053e-03 1.741109375454707364e-06
5.483999999999999655e-12 1.011990471466099779e-02 1.693906396399748843e-06
7.630999999999999291e-12 1.228242907160448545e-02 1.215764899596336300e-06
9.067999999999999731e-12 1.410307085806412376e-02 1.521452732458468248e-06
9.741999999999999485e-12 1.629717874110249085e-02 2.551753886453192356e-06
9.996000000000000624e-12 1.410314917270583460e-02 1.508708929294364431e-06
1.055000000000000008e-11 1.613536410245948460e-02 2.502912739878901232e-06
1.136000000000000006e-11 1.410447147736242426e-02 1.467843361058841694e-06
1.313000000000000080e-11 1.228901015786359845e-02 4.656006904207421778e-07
1.384999999999999935e-11 1.417628197814193962e-02 3.474155395225895111e-07
1.411000000000000026e-11 1.618844560864557761e-02 5.797093988612015131e-07
1.435999999999999940e-11 1.816466008383493119e-02 1.212419837078869029e-06
1.511000000000000004e-11 2.050224093671624767e-02 2.619743899379755986e-06
1.526999999999999936e-11 2.261036484136327504e-02 3.834416334641360049e-06
1.530999999999999999e-11 2.450987153668848090e-02 4.307099934482999144e-06
1.566999999999999927e-11 2.680433839485926728e-02 3.363891328949697980e-06
1.726999999999999891e-11 2.896952118961343414e-02 1.781245553138487935e-06
1.743000000000000146e-11 3.117614573404635728e-02 1.202516558383570670e-06
2.036000000000000129e-11 3.324355924205112806e-02 2.244165737256693922e-06
2.116999999999999966e-11 3.541421032770260269e-02 2.248750440124777030e-06
2.152000000000000039e-11 3.760775218388880126e-02 2.481539702804173188e-06
2.156999999999999957e-11 3.943261093655969080e-02 8.262823289754601743e-07
2.159999999999999843e-11 3.760774929304066400e-02 2.481539702804173188e-06
2.198000000000000126e-11 3.953936021632539072e-02 8.947914613041453246e-07
2.247000000000000099e-11 4.153737102166390333e-02 1.310836273709827358e-06
2.351000000000000140e-11 4.355794020461443983e-02 5.109144814781089806e-06
2.427000000000000059e-11 4.579624657586485459e-02 5.475097824896755521e-06
2.556999999999999868e-11 4.775126324453805859e-02 4.446781909920821218e-06
2.609000000000000051e-11 4.603122285985999235e-02 2.886832974854838367e-06
2.673000000000000101e-11 5.159147452528255878e-02 2.755572271492003564e-06
2.853999999999999916e-11 5.418328004610423881e-02 2.465491748446669773e-06
2.886000000000000102e-11 5.696591352888615012e-02 1.734007179065362500e-06
2.942000000000000025e-11 5.418328005573528477e-02 2.465427692635460859e-06
3.128000000000000081e-11 5.679574696715741083e-02 1.367548417677379463e-06
3.197000000000000049e-11 5.868989429504396088e-02 1.028993543180406575e-06
3.352999999999999950e-11 6.085317661842000458e-02 1.563001390010868140e-06
3.576000000000000111e-11 6.284154707079345203e-02 3.630292670707188743e-06
3.625999999999999938e-11 6.486858438230620749e-02 8.652999028681882977e-06
3.692000000000000020e-11 6.701811683953730336e-02 7.514087165065205979e-06
3.832000000000000312e-11 6.945692014218125820e-02 4.053463746602235996e-06
3.836999999999999907e-11 6.701811672363047756e-02 7.514249706908870252e-06
3.912000000000000295e-11 6.487425285527068097e-02 1.093292247896367233e-05
4.062999999999999954e-11 6.285351730527244385e-02 8.207301039711226701e-06
4.068999999999999727e-11 6.487425273317468100e-02 1.093298979220695599e-05
4.113999999999999959e-11 6.718146687452186683e-02 1.778680506425709933e-05
4.264000000000000087e-11 6.487233219596669209e-02 1.097577381655953970e-05
4.265000000000000265e-11 6.285460747823412575e-02 8.222971104552861032e-06
4.272000000000000215e-11 6.487233244985401992e-02 1.097585663235910855e-05
4.392000000000000188e-11 6.733351557856998015e-02 1.211054875127852884e-05
4.447999999999999788e-11 6.967379491696309990e-02 1.219535034050924554e-05
4.517999999999999934e-11 7.575145398679972164e-02 8.897045675379598972e-06
4.541000000000000139e-11 6.967380462725740464e-02 1.219525332373932776e-05
4.629000000000000248e-11 6.733541471371401466e-02 1.684272697606350051e-05
4.713999999999999826e-11 6.907844305439196642e-02 1.396594795468716530e-05
4.730000000000000081e-11 7.141589339509242518e-02 1.086552774730321360e-05
4.840999999999999749e-11 6.907844036702535939e-02 1.396572752775966275e-05
5.156000000000000083e-11 7.141456583765162791e-02 1.071802274563343702e-05
5.169999999999999983e-11 6.907845043276993058e-02 1.396567033478108733e-05
5.364999999999999697e-11 6.732752875739746179e-02 9.831600555625677430e-06
5.365999999999999875e-11 7.320621680061446812e-02 1.136123675288697063e-05
5.419000000000000235e-11 7.559423799376349673e-02 8.410429966595253721e-06
5.442999999999999971e-11 7.810497953140790872e-02 7.108303163938050790e-06
5.464999999999999998e-11 8.038259819776917559e-02 2.969551135584536378e-06
5.492999999999999798e-11 8.290482062653331541e-02 1.830945772076541003e-06
5.700999999999999881e-11 8.480567011836255553e-02 9.888268268599602268e-07
5.859000000000000137e-11 8.688885248953175100e-02 2.363424728577411794e-06
5.927000000000000574e-11 8.869856008134606451e-02 3.144058101053282658e-06
5.985000000000000529e-11 9.081083081919240352e-02 6.002448217829491116e-06
6.033999999999999532e-11 9.265464886136159928e-02 4.414733631874893531e-06
6.088000000000000070e-11 9.081038573944492931e-02 5.781502173693716367e-06
6.110000000000000097e-11 9.262279661806709086e-02 4.367562562861204494e-06
6.206000000000000334e-11 9.081071972267379389e-02 5.593874913737015944e-06
6.239999999999999907e-11 9.265497718668615212e-02 4.388908948600881235e-06
6.341999999999999916e-11 9.080994022387328668e-02 5.415961295937497970e-06
6.380000000000000199e-11 9.663653590538938409e-02 1.618965259153503710e-06
6.416000000000000126e-11 9.867110946738265331e-02 4.210690311252447460e-06
6.446999999999999812e-11 1.008397994657513619e-01 6.447002336054748255e-06
6.532000000000000036e-11 1.068388133453321565e-01 5.653702638438522731e-06
6.570999999999999849e-11 1.135029667061324965e-01 5.119508458249039379e-06
6.626999999999999449e-11 1.153589610940795179e-01 4.246716970750494775e-06
6.645000000000000059e-11 1.135029689961841864e-01 5.119455773242819190e-06
