# time Ni NiV
0.000000000000000000e+00 3.977162362409431538e-13 9.891337163253595935e-14
1.148000000000000006e-13 1.728651586723125265e-03 7.651033801879908836e-07
2.111999999999999987e-13 3.845706308612209523e-03 6.667195960136082667e-07
2.272000000000000012e-12 5.976891057411840708e-03 1.012455850240933634e-06
2.365999999999999814e-12 8.098985252905626514e-03 7.165077276756301279e-07
2.528999999999999826e-12 1.002251748786536084e-02 7.917182979600203277e-07
3.368000000000000189e-12 1.212183798331059256e-02 2.025305480467225369e-06
4.049000000000000216e-12 1.419464360456395603e-02 3.900229257696008756e-06
4.891999999999999754e-12 1.629384663765608490e-02 5.713140166675981205e-06
5.053000000000000380e-12 1.825372262017992131e-02 4.043462206882808052e-06
5.075999999999999778e-12 1.629384646048340907e-02 5.713140166675981205e-06
5.099999999999999675e-12 1.825329200914928979e-02 4.038408268849569049e-06
7.118999999999999857e-12 2.063840799242286708e-02 1.796420798521384485e-06
7.299999999999999995e-12 2.307516268041572005e-02 5.969577444490944222e-07
7.546000000000000360e-12 2.107120668657818524e-02 3.473174866533722065e-07
8.260999999999999636e-12 2.713794275047249835e-02 6.151776057002055309e-07
8.331000000000000751e-12 2.742917036435778624e-02 1.344165497708867973e-06
8.572000000000000229e-12 2.952207757194863155e-02 6.633420706321518066e-07
8.999999999999999617e-12 3.143353871804162314e-02 3.675530576478557266e-06
9.159000000000000050e-12 3.354545043581774744e-02 7.390617246365378782e-06
1.075000000000000004e-11 3.143352955521779707e-02 3.675407082965402053e-06
1.106000000000000013e-11 3.354546142248894525e-02 7.390509816691984244e-06
1.107000000000000029e-11 3.537579385616929778e-02 9.790842309075313492e-06
1.131999999999999942e-11 3.354654985274282963e-02 7.373355080357618260e-06
1.215999999999999988e-11 3.537579395137865207e-02 9.790729729087256967e-06
1.234999999999999968e-11 3.763609724472692653e-02 1.179639700211407011e-05
1.290000000000000037e-11 3.951604268338181764e-02 4.652888308019089899e-06
1.294999999999999955e-11 3.763609690240844741e-02 1.179612807697522568e-05
1.396999999999999964e-11 3.537832550818776484e-02 1.165459793802071855e-05
1.455999999999999935e-11 3.355023262548933322e-02 1.390451469404102156e-05
1.664000000000000018e-11 3.568561524410546887e-02 1.797182995753791819e-05
1.666999999999999904e-11 3.762283319358440681e-02 1.977416243731615201e-05
1.675000000000000032e-11 3.964325930719743429e-02 1.988968637844351476e-05
1.996000000000000138e-11 4.170141557860361503e-02 2.018989522957642961e-05
2.058000000000000157e-11 3.964316739284737268e-02 1.988817100392476555e-05
2.118999999999999998e-11 4.184998147064583618e-02 1.946165530551932640e-05
2.212999999999999880e-11 3.964277254340431433e-02 1.987704328565439459e-05
2.278000000000000108e-11 4.203978751078324416e-02 1.554677661322193251e-05
2.294000000000000040e-11 4.410437149112880068e-02 1.986652189385465961e-05
2.378999999999999940e-11 4.203975388842924599e-02 1.554404933861444087e-05
2.509999999999999927e-11 4.394197357418436894e-02 1.948052308038011022e-05
2.737000000000000152e-11 4.626780374666038947e-02 9.346148653231641025e-06
2.751999999999999906e-11 4.794297429800431498e-02 1.053382274058344790e-05
2.793000000000000074e-11 4.626780423447858503e-02 9.346085385930759615e-06
2.797999999999999993e-11 4.794299187098733511e-02 1.053382274058344790e-05
2.848999999999999997e-11 5.062042802274653586e-02 1.022190067420413073e-05
2.918999999999999820e-11 5.258413691846305221e-02 3.018102693297910257e-06
2.954000000000000216e-11 5.066304067966473368e-02 4.954227610515202634e-06
3.034999999999999730e-11 5.248163115487402414e-02 4.021819783818268189e-06
3.259000000000000068e-11 5.476996239692142471e-02 2.503055489906071160e-06
3.277000000000000032e-11 5.669451913142684735e-02 1.787581969759353568e-06
3.277000000000000032e-11 5.513314239132410810e-02 2.514290608761295034e-06
3.277000000000000032e-11 5.669451904658311114e-02 1.787563844102623516e-06
3.297999999999999882e-11 5.477299139543768264e-02 2.414002138280547493e-06
3.301999999999999945e-11 5.686127932488847792e-02 3.878430001415929479e-06
3.601000000000000024e-11 5.887767360319718507e-02 7.911701921923365517e-06
3.778999999999999952e-11 6.097546215453136104e-02 6.151964051441729233e-06
3.820000000000000121e-11 6.313910505224548664e-02 3.141678315966063663e-06
4.131999999999999923e-11 6.535280656275860300e-02 4.218625815742564016e-06
4.153999999999999950e-11 6.741300675686584531e-02 8.466837398811649320e-06
4.324999999999999928e-11 7.002515057902305995e-02 9.630551741839000451e-06
4.403999999999999733e-11 7.590860617314917902e-02 1.013139879213810275e-05
4.421000000000000165e-11 7.002514987945905600e-02 9.630551741839000451e-06
4.534000000000000189e-11 7.159714062245120525e-02 1.020081613678422281e-05
4.549000000000000266e-11 6.948274705646935445e-02 6.883574781560803933e-06
4.549000000000000266e-11 6.764066853300447490e-02 9.652021419990999709e-06
4.571000000000000294e-11 6.964626863961904946e-02 1.115153970757903852e-05
4.633999999999999843e-11 7.174572171546859944e-02 1.929486695954006886e-05
4.964000000000000255e-11 7.394529954038933650e-02 1.864738119063004526e-05
4.975000000000000268e-11 7.621651736299839275e-02 1.801894860837910284e-05
5.216999999999999924e-11 7.827160308488884111e-02 2.425671175422997226e-05
5.226000000000000229e-11 8.043691087012901086e-02 2.625152538945388665e-05
5.243000000000000015e-11 8.271635182238873396e-02 2.749971576426750604e-05
5.320000000000000111e-11 8.493561583690584227e-02 2.856607716875181728e-05
5.498000000000000039e-11 8.718871529354531302e-02 2.575469948321049702e-05
5.714000000000000250e-11 9.304497227062417941e-02 2.678157325774685799e-05
5.782000000000000041e-11 9.126426575990770340e-02 2.650887741189629629e-05
5.919999999999999978e-11 9.304497251510236711e-02 2.678157325774685799e-05
6.234999999999999666e-11 9.599182270768975844e-02 2.535398990820189038e-05
6.879000000000000233e-11 9.818842681085569735e-02 2.420415538654348685e-05
7.089000000000000025e-11 1.004663771782414450e-01 1.505207017998663307e-05
7.262999999999999890e-11 1.024596969146717163e-01 1.187865941929829509e-05
7.312999999999999717e-11 1.047134504337118716e-01 8.458194773082268247e-06
7.326999999999999617e-11 1.068532564128594348e-01 7.023487344670662485e-06
7.748999999999999556e-11 1.090505145834154976e-01 1.332476794051948197e-05
7.853999999999999451e-11 1.110166692974808994e-01 8.319107457720032161e-06
7.935000000000000257e-11 1.132402500351521457e-01 1.179440515729725951e-05
7.952000000000000044e-11 1.153744128648914596e-01 4.309201820927467116e-05
7.993000000000000212e-11 1.159867593506842542e-01 1.824889878280795685e-02
