# bin_edges hist err
5.907837911587943396e-08 3.344081406644986743e+01 1.495518669510261311e+01
1.068000432514575467e-07 4.069646292896676698e+01 1.227044525727188251e+01
1.930697728883249708e-07 1.043737527134390177e+02 1.461524872198931035e+01
3.490254878959579243e-07 1.879257765058960672e+02 1.458586902288220344e+01
6.309573444801929638e-07 3.650933839949395860e+02 1.512062300966709749e+01
1.140624923851320228e-06 5.944424762049122819e+02 1.434997659892319000e+01
2.061986009502219260e-06 2.151936491687839066e+02 6.421545617948962281e+00
3.727593720314938057e-06 5.303191863541283055e+02 7.497596915502760417e+00
6.738627168030940877e-06 4.565981571859612700e+02 5.174269761732382733e+00
1.218187912010114744e-05 4.639255178146422622e+02 3.879133194364423609e+00
2.202201949987373474e-05 4.427084645940818746e+02 2.818370247939808060e+00
3.981071705534969458e-05 4.558306103997207970e+02 2.127009585693886873e+00
7.196856730011514085e-05 4.530833303509025427e+02 1.577194731204018652e+00
1.301025216910830151e-04 4.462618170828807820e+02 1.164178867818037810e+00
2.351952635070956471e-04 4.319490882782677090e+02 8.518628898114872783e-01
4.251786303382885782e-04 4.087406589239979553e+02 6.163195020021635662e-01
7.686246100397730154e-04 3.651712383035401785e+02 4.332702236989640632e-01
1.389495494373136101e-03 2.084815129552442556e+02 2.434853903487108062e-01
2.511886431509576835e-03 5.903261005232715064e+01 9.636375101755165207e-02
4.540909610972469757e-03 1.376650625944750495e+01 3.461052155429541338e-02
8.208914159638244779e-03 3.324983151707705975e+00 1.265084607037656773e-02
1.483981788967563172e-02 8.354457508912237484e-01 4.716420796462602281e-03
2.682695795279721809e-02 2.603589680905533665e-01 1.958250565480938472e-03
4.849693428528190769e-02 5.273022580798950032e-02 6.554512210036671184e-04
8.767123872968668463e-02 7.265128544821444941e-03 1.809509152505507841e-04
1.584893192461110933e-01 1.515789825158429457e-03 6.147339489318763388e-05
2.865120269663776198e-01 1.930725741038774042e-05 5.160081593423086586e-06
5.179474679231201861e-01 1.945314725901601323e-04 1.218203335165232290e-05
9.363292088239397737e-01 3.080560177130977728e-04 1.140166474562283513e-05
1.692666615037872635e+00 1.295558305415063667e-04 5.499338736218636915e-06
