# dx dy dz
1.748676600000000025e+00 0.000000000000000000e+00 -1.752000000000000668e+00
-1.748676600000000025e+00 0.000000000000000000e+00 1.752000000000000668e+00
0.000000000000000000e+00 1.750000000000000000e+00 -1.751000000000001222e+00
-1.750000000000000000e+00 1.740000000000000213e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.750000000000000000e+00 -1.747999999999999332e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.746999999999999886e+00
1.747000000000000108e+00 9.999999999999786837e-03 -1.746999999999999886e+00
-1.747000000000000108e+00 1.740000000000000213e+00 -9.999999999994457767e-04
1.748000000000000220e+00 9.999999999999786837e-03 1.748999999999998778e+00
-1.745999999999999996e+00 0.000000000000000000e+00 1.751000000000001222e+00
1.746999999999999886e+00 0.000000000000000000e+00 1.740000000000000213e+00
0.000000000000000000e+00 -1.750000000000000000e+00 -1.740000000000000213e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.740000000000000213e+00
-1.749000000000000110e+00 0.000000000000000000e+00 -1.750000000000000000e+00
1.745000000000000107e+00 0.000000000000000000e+00 -1.741000000000001435e+00
-1.745999999999999996e+00 -1.750000000000000000e+00 -9.999999999994457767e-04
1.745999999999999996e+00 1.750000000000000000e+00 9.999999999994457767e-04
-1.745999999999999996e+00 1.750000000000000000e+00 -9.999999999994457767e-04
-1.746999999999999886e+00 0.000000000000000000e+00 1.752000000000000668e+00
-1.000000000000333955e-03 -1.750000000000000000e+00 1.740000000000000213e+00
0.000000000000000000e+00 -1.740000000000000213e+00 -1.740000000000000213e+00
1.750000000000000000e+00 -1.749999999999998224e+00 0.000000000000000000e+00
1.747000000000000330e+00 1.739999999999998437e+00 0.000000000000000000e+00
1.748224999999999918e+00 0.000000000000000000e+00 1.750000000000000000e+00
-1.746225000000000138e+00 1.750000000000000000e+00 0.000000000000000000e+00
1.745233000000000034e+00 1.750000000000000000e+00 0.000000000000000000e+00
-1.746232999999999924e+00 0.000000000000000000e+00 -1.750000000000000000e+00
1.746018999999999988e+00 -1.750000000000000000e+00 0.000000000000000000e+00
-1.746018999999999988e+00 1.750000000000000000e+00 0.000000000000000000e+00
-1.746999999999999886e+00 0.000000000000000000e+00 -1.748000000000001108e+00
-1.746999999999999886e+00 1.750000000000000000e+00 0.000000000000000000e+00
1.746999999999999886e+00 -1.750000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.750000000000000000e+00 -1.746999999999998998e+00
-1.749000000000000554e+00 1.750000000000000000e+00 0.000000000000000000e+00
-9.999999999994457767e-04 1.740000000000000213e+00 1.748000000000000220e+00
1.750000000000000000e+00 0.000000000000000000e+00 1.746999999999999886e+00
0.000000000000000000e+00 1.752000000000000668e+00 -1.745000000000000995e+00
1.748999999999999888e+00 0.000000000000000000e+00 -1.746999999999998998e+00
1.746078999999999937e+00 0.000000000000000000e+00 -1.746000000000000441e+00
1.746921000000000168e+00 -1.752000000000000668e+00 0.000000000000000000e+00
9.999999999998898659e-04 -1.740000000000000213e+00 -1.749000000000000110e+00
1.749000000000000110e+00 1.740000000000000213e+00 0.000000000000000000e+00
-1.747000000000000108e+00 0.000000000000000000e+00 1.749000000000000110e+00
0.000000000000000000e+00 1.750000000000000000e+00 1.746999999999999886e+00
1.748999999999999888e+00 9.999999999994457767e-04 1.748000000000000220e+00
1.746999999999999886e+00 0.000000000000000000e+00 1.743000000000000327e+00
1.748000000000000220e+00 0.000000000000000000e+00 1.750000000000000000e+00
0.000000000000000000e+00 -1.750999999999999446e+00 1.750000000000000000e+00
-1.000000000000333955e-03 1.750000000000000000e+00 -1.750000000000000000e+00
1.000000000000333955e-03 -1.750000000000000000e+00 1.750000000000000000e+00
1.748999999999999666e+00 0.000000000000000000e+00 1.750000000000000000e+00
1.749000000000000554e+00 1.752000000000000668e+00 0.000000000000000000e+00
-1.746999999999999886e+00 0.000000000000000000e+00 1.750000000000000000e+00
0.000000000000000000e+00 1.749999999999999112e+00 -1.750000000000000000e+00
1.746999999999999886e+00 1.000000000000333955e-03 -1.750000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+00
-1.750000000000000000e+00 0.000000000000000000e+00 -1.750000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 -1.750000000000000000e+00
-1.750000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+00
0.000000000000000000e+00 -1.749000000000000554e+00 1.750000000000000000e+00
0.000000000000000000e+00 1.747000000000000774e+00 1.750000000000000000e+00
0.000000000000000000e+00 -1.745999999999999552e+00 1.739999999999998437e+00
1.750000000000000000e+00 -1.745000000000000995e+00 0.000000000000000000e+00
-1.750000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+00
1.750000000000000000e+00 1.746999999999999886e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.747000000000000774e+00 1.750000000000000000e+00
1.750000000000000000e+00 -1.745999999999999552e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.745999999999999552e+00 1.750000000000000000e+00
-1.750000000000000000e+00 -1.745999999999999552e+00 0.000000000000000000e+00
1.750000000000000000e+00 -1.748000000000001108e+00 0.000000000000000000e+00
1.740000000000000213e+00 -1.740000000000000213e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+00
1.750000000000000000e+00 1.740000000000000213e+00 0.000000000000000000e+00
-1.750000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+00
1.750000000000000000e+00 1.753000000000000114e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.748000000000000220e+00 -1.750000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+00
0.000000000000000000e+00 1.748000000000000220e+00 -1.750000000000000000e+00
0.000000000000000000e+00 1.748999999999999666e+00 -1.750000000000000000e+00
-1.750000000000000000e+00 0.000000000000000000e+00 -1.739999999999998437e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.739999999999998437e+00
-1.750000000000000000e+00 1.749000000000000110e+00 1.000000000000156319e-02
1.750000000000000000e+00 -1.749000000000000110e+00 -1.000000000000156319e-02
0.000000000000000000e+00 1.745999999999999996e+00 -1.739999999999998437e+00
-1.750000000000000000e+00 1.747000000000000108e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.746795000000000098e+00 1.750000000000000000e+00
1.750000000000000000e+00 5.149999999999998329e-04 -1.750000000000000000e+00
1.739999999999998437e+00 2.899999999999951228e-05 -1.750000000000000000e+00
1.750000000000000000e+00 1.748660999999999799e+00 0.000000000000000000e+00
-1.750000000000000000e+00 -1.748188999999999993e+00 0.000000000000000000e+00
-1.739999999999998437e+00 6.230000000000002897e-04 1.750000000000000000e+00
-1.750000000000000000e+00 2.599999999999998146e-05 1.750000000000000000e+00
0.000000000000000000e+00 1.747539999999999871e+00 -1.750000000000000000e+00
1.750000000000000000e+00 1.747000000000000108e+00 0.000000000000000000e+00
-1.750000000000000000e+00 9.999999999998898659e-04 -1.750000000000000000e+00
1.750000000000000000e+00 -1.748999999999999888e+00 0.000000000000000000e+00
1.739999999999998437e+00 -1.746077000000000101e+00 0.000000000000000000e+00
1.750000000000000000e+00 -1.747922999999999893e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+00
-1.750000000000000000e+00 1.749239999999999906e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.746760000000000090e+00 1.750000000000000000e+00
1.750000000000000000e+00 1.746999999999999886e+00 0.000000000000000000e+00
1.750000000000000000e+00 -1.744999999999999885e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 -1.750000000000000000e+00
-1.750000000000000000e+00 -1.000000000000111910e-03 -1.750000000000000000e+00
-1.750000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+00
-1.739999999999998437e+00 1.748000000000000220e+00 0.000000000000000000e+00
-1.750000000000000000e+00 0.000000000000000000e+00 -1.750000000000000000e+00
-1.750000000000000000e+00 -1.748000000000000220e+00 0.000000000000000000e+00
1.750000000000000000e+00 1.748000000000000220e+00 0.000000000000000000e+00
1.750000000000000000e+00 -1.749000000000000110e+00 0.000000000000000000e+00
1.739999999999998437e+00 1.746999999999999886e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 -1.750000000000000000e+00
1.740000000000001990e+00 1.748999999999999666e+00 0.000000000000000000e+00
-1.740000000000001990e+00 1.747000000000000774e+00 0.000000000000000000e+00
-1.750000000000000000e+00 -1.746000000000000441e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.746999999999999886e+00 -1.750000000000000000e+00
-1.750000000000000000e+00 1.745999999999999552e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.747999999999999776e+00 1.750000000000000000e+00
0.000000000000000000e+00 -1.745999999999999774e+00 -1.750000000000000000e+00
-1.750000000000000000e+00 -1.746720000000000050e+00 0.000000000000000000e+00
-1.739999999999998437e+00 -5.100000000000000366e-04 -1.750000000000000000e+00
0.000000000000000000e+00 -1.747770000000000046e+00 1.750000000000000000e+00
-1.750000000000000000e+00 -9.999999999998898659e-04 1.750000000000000000e+00
1.739999999999998437e+00 0.000000000000000000e+00 1.739999999999998437e+00
0.000000000000000000e+00 -1.748999999999999888e+00 -1.739999999999998437e+00
0.000000000000000000e+00 1.748999999999999888e+00 1.739999999999998437e+00
0.000000000000000000e+00 1.750280000000000058e+00 -1.750000000000000000e+00
1.750000000000000000e+00 5.600000000000014688e-04 1.750000000000000000e+00
0.000000000000000000e+00 -1.748839999999999950e+00 -1.739999999999998437e+00
-1.750000000000000000e+00 -1.000000000000111910e-03 1.739999999999998437e+00
1.750000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+00
0.000000000000000000e+00 -1.748999999999999888e+00 1.740000000000001990e+00
1.750000000000000000e+00 1.746999999999999886e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.747320000000000206e+00 1.750000000000000000e+00
-1.750000000000000000e+00 -1.746320000000000094e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.746259999999999923e+00 -1.740000000000001990e+00
1.750000000000000000e+00 8.999999999999980238e-05 1.740000000000001990e+00
0.000000000000000000e+00 -1.747350000000000181e+00 -1.740000000000001990e+00
0.000000000000000000e+00 -1.749000000000000110e+00 -1.750000000000000000e+00
-1.750000000000000000e+00 0.000000000000000000e+00 -1.750000000000000000e+00
0.000000000000000000e+00 -1.749000000000000110e+00 1.750000000000000000e+00
