# AtomId eventId barrier
2.030000000000000000e+02 7.969500000000000000e+05 4.570520000000000138e-01
4.730000000000000000e+02 5.979100000000000000e+04 8.719000000000000361e-02
5.370000000000000000e+02 2.595660000000000000e+05 2.620489999999999764e-01
2.530000000000000000e+02 5.347920000000000000e+05 6.191640000000000477e-01
4.730000000000000000e+02 9.797130000000000000e+05 5.701199999999999601e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.134120000000000017e-01
2.030000000000000000e+02 7.969500000000000000e+05 4.570409999999999751e-01
4.730000000000000000e+02 8.319100000000000000e+04 8.719000000000000361e-02
5.370000000000000000e+02 2.595660000000000000e+05 2.610729999999999995e-01
2.530000000000000000e+02 5.347920000000000000e+05 6.191560000000000397e-01
4.730000000000000000e+02 9.797130000000000000e+05 5.701199999999999601e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.143660000000000121e-01
2.030000000000000000e+02 7.969500000000000000e+05 4.570529999999999871e-01
4.730000000000000000e+02 8.319100000000000000e+04 8.719100000000000461e-02
5.370000000000000000e+02 2.595660000000000000e+05 2.619619999999999727e-01
2.530000000000000000e+02 5.347920000000000000e+05 6.191550000000000109e-01
4.730000000000000000e+02 9.797130000000000000e+05 5.701199999999999601e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.143909999999999538e-01
2.030000000000000000e+02 7.969500000000000000e+05 4.570469999999999811e-01
4.730000000000000000e+02 8.319100000000000000e+04 8.719100000000000461e-02
5.370000000000000000e+02 2.595660000000000000e+05 2.621339999999999781e-01
2.530000000000000000e+02 5.347920000000000000e+05 6.191410000000000524e-01
4.730000000000000000e+02 9.797130000000000000e+05 5.701209999999999889e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.133210000000000495e-01
2.030000000000000000e+02 7.969500000000000000e+05 4.570469999999999811e-01
4.730000000000000000e+02 8.319100000000000000e+04 8.719100000000000461e-02
5.370000000000000000e+02 2.595660000000000000e+05 2.620080000000000187e-01
2.530000000000000000e+02 5.347920000000000000e+05 6.191780000000000062e-01
4.730000000000000000e+02 9.797130000000000000e+05 5.701209999999999889e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.135560000000000347e-01
2.030000000000000000e+02 7.969500000000000000e+05 4.570500000000000118e-01
4.730000000000000000e+02 8.319100000000000000e+04 8.719100000000000461e-02
5.370000000000000000e+02 2.595660000000000000e+05 2.610669999999999935e-01
2.530000000000000000e+02 5.347920000000000000e+05 6.191600000000000437e-01
4.730000000000000000e+02 9.797130000000000000e+05 5.701209999999999889e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.134729999999999794e-01
1.313000000000000000e+03 1.028648000000000000e+06 1.336319999999999952e+00
2.530000000000000000e+02 1.038284000000000000e+06 3.345710000000000073e-01
4.290000000000000000e+02 1.267816000000000000e+06 7.570329999999999560e-01
1.313000000000000000e+03 1.057663000000000000e+06 5.057450000000000001e-01
2.530000000000000000e+02 5.950500000000000000e+05 2.936719999999999886e-01
1.313000000000000000e+03 1.057663000000000000e+06 3.689279999999999782e-01
2.530000000000000000e+02 9.123650000000000000e+05 5.666899999999999715e-02
8.880000000000000000e+02 1.106994000000000000e+06 3.647279999999999966e-01
1.313000000000000000e+03 2.510090000000000000e+05 3.968530000000000113e-01
1.313000000000000000e+03 7.433100000000000000e+04 4.019280000000000075e-01
2.530000000000000000e+02 1.184219000000000000e+06 4.495339999999999892e-01
2.530000000000000000e+02 1.028648000000000000e+06 1.337153999999999954e+00
4.730000000000000000e+02 9.797130000000000000e+05 5.687870000000000426e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.135339999999999572e-01
1.313000000000000000e+03 5.347920000000000000e+05 6.189360000000000417e-01
2.030000000000000000e+02 7.969500000000000000e+05 4.560170000000000057e-01
4.730000000000000000e+02 5.191340000000000000e+05 8.590699999999999725e-02
5.370000000000000000e+02 2.595660000000000000e+05 2.611760000000000193e-01
2.530000000000000000e+02 1.028648000000000000e+06 1.337136000000000102e+00
4.730000000000000000e+02 9.410360000000000000e+05 5.687870000000000426e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.133630000000000360e-01
1.313000000000000000e+03 5.347920000000000000e+05 6.189620000000000122e-01
2.030000000000000000e+02 7.969500000000000000e+05 4.560190000000000077e-01
4.730000000000000000e+02 5.191340000000000000e+05 8.590699999999999725e-02
5.370000000000000000e+02 2.595660000000000000e+05 2.611720000000000153e-01
2.030000000000000000e+02 3.735500000000000000e+04 1.176669999999999938e-01
2.030000000000000000e+02 5.923100000000000000e+05 2.133600000000000080e-02
1.320000000000000000e+02 7.848550000000000000e+05 2.348860000000000114e-01
2.030000000000000000e+02 1.769230000000000000e+05 2.048069999999999891e-01
2.030000000000000000e+02 6.812010000000000000e+05 2.133600000000000080e-02
2.030000000000000000e+02 3.735600000000000000e+04 1.148549999999999988e-01
2.030000000000000000e+02 7.969500000000000000e+05 4.518789999999999751e-01
4.730000000000000000e+02 4.439150000000000000e+05 8.635800000000000420e-02
5.370000000000000000e+02 2.595660000000000000e+05 2.599150000000000071e-01
2.530000000000000000e+02 1.028648000000000000e+06 1.336300000000000043e+00
4.730000000000000000e+02 1.884340000000000000e+05 5.706090000000000328e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.132019999999999582e-01
1.313000000000000000e+03 5.347920000000000000e+05 6.189829999999999499e-01
2.530000000000000000e+02 1.057663000000000000e+06 5.057530000000000081e-01
4.290000000000000000e+02 1.267816000000000000e+06 7.570160000000000222e-01
1.313000000000000000e+03 1.038284000000000000e+06 3.344170000000000198e-01
2.530000000000000000e+02 1.057663000000000000e+06 3.688980000000000037e-01
1.313000000000000000e+03 5.950500000000000000e+05 2.936730000000000174e-01
2.530000000000000000e+02 6.772120000000000000e+05 5.058369999999999811e-01
5.370000000000000000e+02 9.081530000000000000e+05 3.649729999999999919e-01
1.313000000000000000e+03 5.950500000000000000e+05 3.954230000000000245e-01
2.530000000000000000e+02 1.057663000000000000e+06 3.689189999999999969e-01
1.313000000000000000e+03 5.950500000000000000e+05 2.936679999999999846e-01
2.530000000000000000e+02 1.028648000000000000e+06 1.337344000000000088e+00
4.730000000000000000e+02 9.797130000000000000e+05 5.685890000000000111e-01
4.730000000000000000e+02 1.103580000000000000e+05 8.191040000000000543e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.132949999999999680e-01
1.313000000000000000e+03 5.347920000000000000e+05 7.144749999999999712e-01
1.313000000000000000e+03 5.347920000000000000e+05 6.191210000000000324e-01
2.530000000000000000e+02 1.057663000000000000e+06 3.689169999999999949e-01
1.313000000000000000e+03 1.038284000000000000e+06 2.936679999999999846e-01
2.530000000000000000e+02 1.028648000000000000e+06 1.337358000000000047e+00
4.730000000000000000e+02 9.797130000000000000e+05 5.685919999999999863e-01
4.730000000000000000e+02 1.103580000000000000e+05 8.191070000000000295e-01
5.370000000000000000e+02 1.066620000000000000e+05 9.133369999999999544e-01
1.313000000000000000e+03 5.347920000000000000e+05 7.144779999999999465e-01
1.313000000000000000e+03 5.347920000000000000e+05 6.191649999999999654e-01
2.530000000000000000e+02 1.057663000000000000e+06 3.689200000000000257e-01
1.313000000000000000e+03 1.038284000000000000e+06 2.936679999999999846e-01
2.530000000000000000e+02 6.772120000000000000e+05 5.057749999999999746e-01
5.370000000000000000e+02 9.081530000000000000e+05 3.649089999999999834e-01
1.313000000000000000e+03 5.950500000000000000e+05 3.954500000000000237e-01
4.730000000000000000e+02 1.088687000000000000e+06 3.557219999999999827e-01
5.370000000000000000e+02 9.294660000000000000e+05 2.561610000000000276e-01
1.313000000000000000e+03 1.209627000000000000e+06 5.211590000000000389e-01
2.530000000000000000e+02 6.772120000000000000e+05 5.057779999999999498e-01
5.370000000000000000e+02 9.081530000000000000e+05 3.649089999999999834e-01
