# time Ni NiV
0.000000000000000000e+00 1.387793287050350916e-14 9.050291335293923598e-15
9.974999999999999401e-13 2.025135541859974814e-03 4.460294640229436928e-08
2.674000000000000117e-12 5.033345114593050647e-12 8.960935704170676847e-15
3.331999999999999939e-12 2.025135567578591287e-03 4.460327641828195004e-08
5.225999999999999744e-12 1.688940396008990000e-11 9.009750355887090708e-15
5.824000000000000225e-12 2.025954616327992931e-03 5.067618249389555620e-08
6.518999999999999990e-12 1.676847907161026467e-11 9.009750355887090708e-15
6.934999999999999833e-12 2.025132808981069000e-03 4.383584109453620426e-08
7.560999999999999791e-12 4.411484768987836320e-03 3.163237931594412312e-08
7.847000000000000794e-12 6.780923108728003496e-03 4.306294103958217149e-08
8.270999999999999795e-12 9.171732694442460282e-03 3.583845329334203675e-08
8.485000000000000297e-12 1.148800364142142302e-02 6.548886872999049966e-08
9.006999999999999890e-12 1.398607089119124729e-02 2.564653501151389947e-08
9.412000000000000689e-12 1.626861319806931910e-02 5.187749202696950249e-08
1.032999999999999981e-11 1.398606848985781657e-02 2.564273699364090571e-08
1.174999999999999981e-11 1.661098130004630413e-02 5.613332451391224781e-08
1.212999999999999941e-11 1.646637676894013511e-02 1.361395000155255278e-08
1.231000000000000066e-11 1.876812291643248365e-02 2.368222284392968442e-08
1.255999999999999980e-11 2.125257234233944928e-02 4.178723571583619375e-08
1.258000000000000011e-11 1.876812343354058998e-02 2.368194212762601893e-08
1.259000000000000027e-11 2.125258867006224461e-02 4.164698922584973709e-08
1.309000000000000016e-11 2.347379486093583920e-02 5.547228537494177136e-08
1.382000000000000049e-11 2.593364780424400190e-02 5.668877681105419744e-08
1.454000000000000065e-11 2.635475402621123911e-02 3.956676382549296236e-09
1.502000000000000022e-11 2.874083615044823597e-02 4.644410497826422722e-08
1.621999999999999995e-11 3.511585013934257621e-02 1.793122032575664665e-08
1.743000000000000146e-11 3.762498031527816006e-02 5.238028017388603033e-08
1.777000000000000042e-11 3.511584958540021895e-02 1.792907731070931657e-08
1.841999999999999946e-11 3.762496319685739582e-02 5.082699525850020567e-08
1.950000000000000052e-11 3.511584513793944429e-02 1.792737628608412367e-08
2.003999999999999943e-11 3.309451927763392559e-02 4.308839243668252313e-08
2.136000000000000107e-11 3.066290537787764656e-02 7.021135243596980238e-08
2.163000000000000053e-11 3.354644473614317585e-02 6.974168645551933970e-08
2.298000000000000104e-11 4.044317188583617523e-02 7.497426175516221924e-08
2.338000000000000095e-11 5.158827892083136385e-02 8.103351168762614672e-08
2.342000000000000158e-11 5.435181912941734750e-02 8.385842464524142789e-08
2.365000000000000040e-11 6.114704382383786413e-02 8.496847548827824318e-08
2.429999999999999945e-11 6.371343970842041626e-02 2.445730614500854011e-08
2.476000000000000032e-11 6.114704252028313469e-02 8.496256627852816833e-08
2.507000000000000041e-11 6.874910882146489932e-02 8.216317483387668773e-08
2.518999999999999909e-11 7.006109603703003508e-02 8.341997248952022519e-08
2.567000000000000028e-11 7.351546932776080456e-02 8.380654673187391934e-08
2.651999999999999928e-11 7.590608867359824319e-02 2.592505532137866984e-08
2.678999999999999874e-11 7.806699427152989645e-02 3.851979446359261727e-08
