# bin_edges hist err
5.907837911587943396e-08 3.601624124827386453e+01 2.546732841950509396e+01
1.068000432514575467e-07 4.980759113048063824e+01 2.227463191265405840e+01
1.930697728883249708e-07 1.046974918349328334e+02 2.401925192371826157e+01
3.490254878959579243e-07 1.920349908543252866e+02 2.419413470586227533e+01
6.309573444801929638e-07 3.321721279271636149e+02 2.366628420301694291e+01
1.140624923851320228e-06 5.941464925330574260e+02 2.354094114247275726e+01
2.061986009502219260e-06 2.156689033304382122e+02 1.054871087429450327e+01
3.727593720314938057e-06 4.937583967014887207e+02 1.187111309829939287e+01
6.738627168030940877e-06 4.101707441525813920e+02 8.047205783579810756e+00
1.218187912010114744e-05 4.123031731290656694e+02 6.000669075388064044e+00
2.202201949987373474e-05 4.348410956228398163e+02 4.583372983277803847e+00
3.981071705534969458e-05 4.258158032340637078e+02 3.373334196324507595e+00
7.196856730011514085e-05 4.267916677005580368e+02 2.511799783644468764e+00
1.301025216910830151e-04 4.233646369620129803e+02 1.860642401436024107e+00
2.351952635070956471e-04 4.109812453646129597e+02 1.363468777774901275e+00
4.251786303382885782e-04 3.947652794782038654e+02 9.938760863900276687e-01
7.686246100397730154e-04 3.497660132830110911e+02 6.957931387082921804e-01
1.389495494373136101e-03 2.090454140942354684e+02 4.000739113701090588e-01
2.511886431509576835e-03 6.561731678458664874e+01 1.667084888801436127e-01
4.540909610972469757e-03 1.546783837098320369e+01 6.019935877728021384e-02
8.208914159638244779e-03 3.678489708996644403e+00 2.183435649133168982e-02
1.483981788967563172e-02 9.260406489085728499e-01 8.147966238926685270e-03
2.682695795279721809e-02 2.695918097710513495e-01 3.269761787058152961e-03
4.849693428528190769e-02 5.760728378851456138e-02 1.124164942764930989e-03
8.767123872968668463e-02 9.489570851049638003e-03 3.393463608247119872e-04
1.584893192461110933e-01 1.805715152801264968e-03 1.100963959692277682e-04
2.865120269663776198e-01 1.299637247453958608e-04 2.196787898578742013e-05
5.179474679231201861e-01 1.787024475758211160e-04 1.915891340522317019e-05
9.363292088239397737e-01 2.840588992021115438e-04 1.796546222237717589e-05
1.692666615037872635e+00 1.458187996167457608e-04 9.573473210780781339e-06
