# AtomId eventId barrier
5.664000000000000000e+03 1.003900000000000000e+06 5.524919999999999831e-01
7.107000000000000000e+03 6.438070000000000000e+05 4.902920000000000056e-01
1.100000000000000000e+04 3.767090000000000000e+05 5.355799999999999450e-01
4.159000000000000000e+03 9.120590000000000000e+05 5.752450000000000063e-01
7.107000000000000000e+03 1.081499000000000000e+06 4.129889999999999950e-01
4.159000000000000000e+03 1.239050000000000000e+06 5.269059999999999855e-01
6.110000000000000000e+03 9.588690000000000000e+05 5.285440000000000138e-01
7.107000000000000000e+03 2.594030000000000000e+05 5.211599999999999566e-01
5.968000000000000000e+03 7.240190000000000000e+05 6.097989999999999799e-01
5.968000000000000000e+03 1.025750000000000000e+06 1.038022000000000000e+00
6.110000000000000000e+03 1.279337000000000000e+06 4.878640000000000199e-01
1.201700000000000000e+04 1.295606000000000000e+06 2.832379999999999898e-01
2.156000000000000000e+03 1.401000000000000000e+03 4.470379999999999909e-01
1.201700000000000000e+04 3.970300000000000000e+04 3.633410000000000251e-01
5.968000000000000000e+03 7.240190000000000000e+05 6.098019999999999552e-01
5.968000000000000000e+03 1.025750000000000000e+06 1.038022000000000000e+00
6.110000000000000000e+03 1.279337000000000000e+06 4.878629999999999911e-01
1.201700000000000000e+04 1.295606000000000000e+06 2.832379999999999898e-01
2.156000000000000000e+03 1.401000000000000000e+03 4.470410000000000217e-01
1.201700000000000000e+04 3.970300000000000000e+04 3.633419999999999983e-01
5.968000000000000000e+03 7.240190000000000000e+05 6.098029999999999839e-01
5.968000000000000000e+03 1.025750000000000000e+06 1.038022000000000000e+00
6.110000000000000000e+03 1.279337000000000000e+06 4.878660000000000219e-01
1.201700000000000000e+04 1.295606000000000000e+06 2.832379999999999898e-01
2.156000000000000000e+03 1.067361000000000000e+06 5.715320000000000400e-01
4.170000000000000000e+03 1.020810000000000000e+06 7.511210000000000386e-01
4.938000000000000000e+03 1.206630000000000000e+06 3.619040000000000035e-01
5.968000000000000000e+03 3.129580000000000000e+05 5.093820000000000014e-01
2.156000000000000000e+03 1.272737000000000000e+06 7.435399999999999787e-01
4.938000000000000000e+03 2.293850000000000000e+05 3.007759999999999878e-01
1.150400000000000000e+04 1.196547000000000000e+06 4.863759999999999750e-01
1.192900000000000000e+04 7.785050000000000000e+05 7.208520000000000483e-01
2.156000000000000000e+03 1.088330000000000000e+06 5.942220000000000280e-01
6.057000000000000000e+03 1.082597000000000000e+06 5.013389999999999791e-01
1.150400000000000000e+04 8.375720000000000000e+05 4.721690000000000054e-01
2.077000000000000000e+03 3.301520000000000000e+05 4.920140000000000069e-01
6.057000000000000000e+03 8.509970000000000000e+05 5.840290000000000203e-01
1.108000000000000000e+04 1.129001000000000000e+06 5.183079999999999909e-01
1.108000000000000000e+04 1.082597000000000000e+06 4.311200000000000032e-01
2.077000000000000000e+03 3.301520000000000000e+05 4.920149999999999801e-01
6.057000000000000000e+03 8.509980000000000000e+05 5.822140000000000093e-01
1.108000000000000000e+04 1.129001000000000000e+06 5.183079999999999909e-01
2.077000000000000000e+03 9.610900000000000000e+04 3.875839999999999841e-01
6.804000000000000000e+03 9.360800000000000000e+04 4.816739999999999911e-01
6.804000000000000000e+03 3.718900000000000000e+04 4.829060000000000019e-01
2.077000000000000000e+03 9.801850000000000000e+05 3.346069999999999878e-01
7.100000000000000000e+03 1.155279000000000000e+06 6.237019999999999786e-01
1.108000000000000000e+04 2.867200000000000000e+04 6.791530000000000067e-01
2.077000000000000000e+03 1.236690000000000000e+05 5.143100000000000449e-01
6.057000000000000000e+03 8.509980000000000000e+05 5.916839999999999877e-01
1.108000000000000000e+04 1.129001000000000000e+06 6.235349999999999504e-01
2.077000000000000000e+03 9.801850000000000000e+05 3.346069999999999878e-01
7.100000000000000000e+03 1.155279000000000000e+06 6.236990000000000034e-01
1.108000000000000000e+04 2.867200000000000000e+04 6.793479999999999519e-01
7.100000000000000000e+03 1.268800000000000000e+04 4.467940000000000245e-01
1.108000000000000000e+04 1.200109000000000000e+06 3.995969999999999800e-01
2.077000000000000000e+03 1.718410000000000000e+05 4.696449999999999791e-01
1.108000000000000000e+04 1.133784000000000000e+06 3.113690000000000069e-01
1.153900000000000000e+04 3.749180000000000000e+05 4.197299999999999920e-01
7.100000000000000000e+03 1.268800000000000000e+04 4.467969999999999997e-01
1.108000000000000000e+04 3.361630000000000000e+05 3.996040000000000147e-01
8.600000000000000000e+01 4.930710000000000000e+05 8.884220000000000450e-01
1.108000000000000000e+04 9.801850000000000000e+05 3.636030000000000095e-01
