# n msd err cf err var err
3.700000000000000000e+01 8.058919748181025966e-02 3.100846214133727525e-05 5.964083013531030764e-01 2.407738020713623250e-06 3.652005536284059529e-03 1.390445890671679849e-06
3.800000000000000000e+01 8.269576068424983051e-02 3.182843431885703665e-05 5.958929160735043640e-01 2.473577952581831994e-06 3.652005536284059529e-03 1.390445890671679849e-06
3.900000000000000000e+01 8.480748886214752036e-02 3.265088382413087336e-05 5.954402245178253006e-01 2.539628136679582791e-06 3.652005536284059529e-03 1.390445890671679849e-06
4.000000000000000000e+01 8.691444973335478441e-02 3.347198801721410275e-05 5.949775326859910729e-01 2.605591631940232314e-06 3.652005536284059529e-03 1.390445890671679849e-06
4.100000000000000000e+01 8.902259405036309914e-02 3.429403831937930685e-05 5.945453149354937850e-01 2.671646836828721400e-06 3.652005536284059529e-03 1.390445890671679849e-06
4.200000000000000000e+01 9.112999087025405731e-02 3.511629171796859560e-05 5.941288056191581513e-01 2.737736117590517171e-06 3.652005536284059529e-03 1.390445890671679849e-06
4.300000000000000000e+01 9.323443221338299780e-02 3.593789753221543796e-05 5.937128484804432560e-01 2.803793252334369041e-06 3.652005536284059529e-03 1.390445890671679849e-06
4.400000000000000000e+01 9.533726402991418714e-02 3.675937436576778118e-05 5.933057820291687268e-01 2.869858727317648934e-06 3.652005536284059529e-03 1.390445890671679849e-06
4.500000000000000000e+01 9.744219889308036731e-02 3.758215421415484701e-05 5.929296043256547799e-01 2.936044493375211738e-06 3.652005536284059529e-03 1.390445890671679849e-06
4.600000000000000000e+01 9.954220613086089964e-02 3.840352601854368943e-05 5.925404497186625985e-01 3.002138905786332038e-06 3.652005536284059529e-03 1.390445890671679849e-06
4.700000000000000000e+01 1.016434082795610594e-01 3.922585152938629424e-05 5.921748164369580181e-01 3.068326580085224837e-06 3.652005536284059529e-03 1.390445890671679849e-06
4.800000000000000000e+01 1.037451350094269614e-01 4.004887305265970784e-05 5.918274104157731363e-01 3.134587562149508948e-06 3.652005536284059529e-03 1.390445890671679849e-06
4.900000000000000000e+01 1.058457493785520676e-01 4.087195933392256535e-05 5.914879681299985981e-01 3.200872582312726672e-06 3.652005536284059529e-03 1.390445890671679849e-06
5.000000000000000000e+01 1.079449592880158126e-01 4.169499782729561409e-05 5.911544120924336898e-01 3.267172894731060970e-06 3.652005536284059529e-03 1.390445890671679849e-06
5.100000000000000000e+01 1.100411575171027223e-01 4.251736772004914604e-05 5.908177667859594306e-01 3.333439881019282985e-06 3.652005536284059529e-03 1.390445890671679849e-06
5.200000000000000000e+01 1.121329187521430404e-01 4.333851776361390189e-05 5.904707050058889406e-01 3.399630272969619939e-06 3.652005536284059529e-03 1.390445890671679849e-06
