# AtomId eventId barrier
8.950000000000000000e+02 3.353980000000000000e+05 8.686420000000000252e-01
1.079000000000000000e+03 1.811840000000000000e+05 6.459099999999999842e-01
1.143000000000000000e+03 3.206280000000000000e+05 5.382949999999999680e-01
1.307000000000000000e+03 2.333910000000000000e+05 6.238869999999999694e-01
1.307000000000000000e+03 4.126880000000000000e+05 9.372449999999999948e-01
8.950000000000000000e+02 3.219990000000000000e+05 8.318060000000000453e-01
1.079000000000000000e+03 1.121405000000000000e+06 1.074003000000000041e+00
1.079000000000000000e+03 8.187870000000000000e+05 3.975333000000000006e+00
1.296000000000000000e+03 1.010350000000000000e+05 8.307280000000000220e-01
2.190000000000000000e+02 8.170650000000000000e+05 5.333940000000000348e-01
8.950000000000000000e+02 1.061440000000000000e+06 5.128909999999999858e-01
2.190000000000000000e+02 2.658760000000000000e+05 6.048510000000000275e-01
8.950000000000000000e+02 1.235043000000000000e+06 6.995190000000000019e-01
1.134000000000000000e+03 3.071450000000000000e+05 6.680739999999999457e-01
1.239000000000000000e+03 1.197831000000000000e+06 5.089609999999999967e-01
2.190000000000000000e+02 4.799350000000000000e+05 5.041419999999999790e-01
1.121000000000000000e+03 1.295176000000000000e+06 4.789200000000000124e-01
1.134000000000000000e+03 5.640100000000000000e+04 6.010250000000000314e-01
1.143000000000000000e+03 9.916500000000000000e+05 6.348620000000000374e-01
2.180000000000000000e+02 9.601010000000000000e+05 6.692639999999999700e-01
2.190000000000000000e+02 1.136930000000000000e+06 6.456990000000000229e-01
4.200000000000000000e+02 1.030862000000000000e+06 6.863909999999999734e-01
4.200000000000000000e+02 2.450670000000000000e+05 1.255427000000000071e+00
4.300000000000000000e+02 3.454570000000000000e+05 4.496169999999999889e-01
1.143000000000000000e+03 1.197831000000000000e+06 5.741789999999999949e-01
2.180000000000000000e+02 8.879190000000000000e+05 6.948539999999999717e-01
4.200000000000000000e+02 8.229610000000000000e+05 5.612040000000000362e-01
5.020000000000000000e+02 1.186328000000000000e+06 7.557000000000000384e-01
1.143000000000000000e+03 1.016241000000000000e+06 6.444280000000000008e-01
1.178000000000000000e+03 1.917570000000000000e+05 6.441850000000000076e-01
1.307000000000000000e+03 8.925300000000000000e+05 5.300019999999999731e-01
6.480000000000000000e+02 9.419620000000000000e+05 5.657429999999999959e-01
6.550000000000000000e+02 1.012428000000000000e+06 4.684690000000000243e-01
1.178000000000000000e+03 5.643280000000000000e+05 3.680229999999999890e-01
3.670000000000000000e+02 8.927000000000000000e+05 9.388840000000000519e-01
1.307000000000000000e+03 1.916790000000000000e+05 5.319660000000000499e-01
2.790000000000000000e+02 5.270440000000000000e+05 6.301080000000000014e-01
3.670000000000000000e+02 9.275150000000000000e+05 6.398730000000000251e-01
1.143000000000000000e+03 1.171215000000000000e+06 6.604780000000000095e-01
1.178000000000000000e+03 8.315930000000000000e+05 5.339500000000000357e-01
1.178000000000000000e+03 2.373180000000000000e+05 1.192501000000000033e+00
1.307000000000000000e+03 1.181410000000000000e+05 4.297639999999999794e-01
1.307000000000000000e+03 4.922700000000000000e+05 4.571520000000000028e-01
3.670000000000000000e+02 8.927000000000000000e+05 9.388389999999999791e-01
1.307000000000000000e+03 5.545120000000000000e+05 8.969129999999999603e-01
1.307000000000000000e+03 1.916790000000000000e+05 5.319639999999999924e-01
3.670000000000000000e+02 8.927000000000000000e+05 9.388389999999999791e-01
1.307000000000000000e+03 1.916790000000000000e+05 5.319639999999999924e-01
