# bin_edges hist err
5.907837911587943396e-08 2.343095663001659545e+01 1.656818832277262743e+01
1.930697728883249708e-07 1.290555871397724275e+02 2.150926452329540339e+01
3.490254878959579243e-07 1.883887907186400241e+02 1.932828210528252910e+01
6.309573444801929638e-07 3.894188312298447272e+02 2.066820556929651076e+01
1.140624923851320228e-06 5.916302270547613489e+02 1.894733119871268912e+01
2.061986009502219260e-06 2.225442665999767371e+02 8.642903138146747821e+00
3.727593720314938057e-06 5.388370286451489619e+02 1.000250388086281994e+01
6.738627168030940877e-06 4.557289271584213566e+02 6.841666204227677461e+00
1.218187912010114744e-05 4.553840727438284830e+02 5.086582274968087347e+00
2.202201949987373474e-05 4.490584723667148523e+02 3.756792202701427996e+00
3.981071705534969458e-05 4.552407961281109579e+02 2.813292478193085255e+00
7.196856730011514085e-05 4.501011795415564620e+02 2.080548982741007968e+00
1.301025216910830151e-04 4.430513128172078723e+02 1.535247697452113425e+00
2.351952635070956471e-04 4.352099676068892791e+02 1.131695083020623382e+00
4.251786303382885782e-04 4.140902534448672441e+02 8.210244450705848074e-01
7.686246100397730154e-04 3.699669138267466337e+02 5.771897346146467322e-01
1.389495494373136101e-03 2.107000474841960909e+02 3.239649628011459503e-01
2.511886431509576835e-03 5.719408137782341583e+01 1.255364497740349972e-01
4.540909610972469757e-03 1.303034683757938339e+01 4.456571281084456548e-02
8.208914159638244779e-03 3.216349769340150822e+00 1.646770491699718619e-02
1.483981788967563172e-02 8.189079158777702316e-01 6.180129092237767255e-03
2.682695795279721809e-02 2.529417214621533239e-01 2.554575946741472446e-03
4.849693428528190769e-02 5.608760048236588469e-02 8.946858842738909714e-04
8.767123872968668463e-02 6.592011078409368459e-03 2.281259502360571056e-04
1.584893192461110933e-01 1.109231802296775475e-03 6.959939335949739546e-05
2.865120269663776198e-01 3.865144380827807783e-05 9.662860952069519458e-06
5.179474679231201861e-01 1.122489191118805711e-04 1.224736115493257073e-05
9.363292088239397737e-01 3.304209287867963308e-04 1.562837365317459740e-05
1.692666615037872635e+00 1.472040192538912691e-04 7.758333026226273054e-06
