# t dx dy dz
9.299999999999990632e-10 -1.753273000000000081e+00 1.753272600000000070e+00 0.000000000000000000e+00
1.820000000000002401e-09 -1.753273999999999333e+00 1.753272100000000000e+00 0.000000000000000000e+00
2.479999999999999708e-09 -1.753273000000000081e+00 0.000000000000000000e+00 1.753273000000000081e+00
6.399999999999977899e-10 -1.753274900000000969e+00 0.000000000000000000e+00 1.753273500000000595e+00
3.900000000000021688e-10 0.000000000000000000e+00 -1.753272100000000000e+00 1.753273500000000595e+00
1.839999999999998609e-09 0.000000000000000000e+00 -1.753272600000000070e+00 1.753273000000000081e+00
5.000000000000044772e-11 1.753274900000000969e+00 -1.753273000000000081e+00 0.000000000000000000e+00
4.799999999999983424e-10 -1.753274900000000969e+00 0.000000000000000000e+00 1.753272600000000736e+00
6.100000000000001683e-10 0.000000000000000000e+00 1.753273000000000081e+00 1.753272100000000222e+00
3.619999999999998666e-09 0.000000000000000000e+00 -1.753273000000000081e+00 -1.753272100000000222e+00
6.000000000000186076e-11 -1.753272100000000222e+00 -1.753273499999999707e+00 0.000000000000000000e+00
5.999999999999987552e-10 1.753272100000000222e+00 0.000000000000000000e+00 -1.753272600000000736e+00
1.099999999999989998e-10 0.000000000000000000e+00 1.753273499999999707e+00 -1.753273000000000081e+00
1.700000000000001988e-09 0.000000000000000000e+00 -1.753273499999999707e+00 -1.753273500000000595e+00
3.400000000000017210e-10 -1.753272100000000222e+00 -1.753273499999999707e+00 0.000000000000000000e+00
7.200000000000024768e-10 -1.753272599999998960e+00 0.000000000000000000e+00 1.753273500000000595e+00
3.899999999999988600e-10 0.000000000000000000e+00 -1.753273000000000970e+00 -1.753273500000000595e+00
6.099999999999968596e-10 1.753272599999998960e+00 1.753273000000000081e+00 0.000000000000000000e+00
5.599999999999997205e-10 -1.753272599999998960e+00 0.000000000000000000e+00 1.753273500000000595e+00
8.300000000000014765e-10 1.753272599999998960e+00 -1.753273000000000081e+00 0.000000000000000000e+00
3.100000000000007907e-10 0.000000000000000000e+00 -1.753273000000000081e+00 1.753273000000000081e+00
6.399999999999977899e-10 -1.753272599999998960e+00 -1.753273000000000081e+00 0.000000000000000000e+00
2.610000000000001534e-09 0.000000000000000000e+00 1.753273000000000081e+00 -1.753273000000000081e+00
1.899999999999997161e-09 1.753272599999998960e+00 0.000000000000000000e+00 -1.753273500000000595e+00
9.300000000000023720e-10 -1.753272599999998960e+00 1.753273000000000081e+00 0.000000000000000000e+00
5.100000000000025815e-10 1.753272599999998960e+00 1.753273000000000081e+00 0.000000000000000000e+00
2.899999999999979646e-10 -1.753272599999998960e+00 0.000000000000000000e+00 -1.753273499999999707e+00
2.899999999999979646e-10 1.753272599999998960e+00 -1.753273000000000081e+00 0.000000000000000000e+00
2.700000000000017560e-10 1.753272100000000222e+00 -1.753273000000000081e+00 0.000000000000000000e+00
2.659999999999998673e-09 -1.753272100000000222e+00 0.000000000000000000e+00 1.753273499999999707e+00
1.870000000000002848e-09 1.753272100000000222e+00 0.000000000000000000e+00 1.753273500000000595e+00
8.999999999999617369e-11 1.753274900000000969e+00 0.000000000000000000e+00 1.753273000000000081e+00
2.900000000000045820e-10 0.000000000000000000e+00 -1.753273000000000081e+00 -1.753273000000000081e+00
4.099999999999950687e-10 -1.753274900000000969e+00 0.000000000000000000e+00 -1.753273500000000595e+00
7.500000000000034071e-10 0.000000000000000000e+00 -1.753273000000000081e+00 1.753273500000000595e+00
4.500000000000007208e-10 0.000000000000000000e+00 1.753273000000000081e+00 -1.753273500000000595e+00
