# time Ni NiV
2.536000000000000018e-11 6.170995749615779818e-02 6.108712323880699305e-07
2.551999999999999950e-11 6.386490153844998074e-02 1.571245669750680677e-06
2.624000000000000128e-11 6.564332431175112781e-02 3.857125721680639584e-06
2.797999999999999993e-11 6.775482171384716867e-02 5.607130609116597085e-06
2.800000000000000024e-11 6.998568276588712500e-02 4.118444870702753334e-06
2.842999999999999902e-11 7.184203907262225186e-02 1.793971314972051428e-06
2.918999999999999820e-11 7.778771927987727930e-02 3.949700634771774951e-06
3.022000000000000007e-11 7.671764017291857196e-02 6.769731093484295943e-06
3.071000000000000304e-11 7.855013027782872803e-02 1.004041449172119412e-05
3.169000000000000249e-11 8.047062794342939307e-02 1.548855865418380739e-05
3.224000000000000318e-11 8.269249955322195700e-02 1.122586306845287699e-05
3.250999999999999940e-11 8.484190018679613199e-02 1.614503827932808387e-05
3.413999999999999791e-11 8.698228979580531484e-02 2.171001525738475228e-05
3.628000000000000293e-11 8.919753659462946460e-02 2.077839434626667012e-05
3.711999999999999693e-11 9.160280141165098866e-02 1.674520182097405277e-05
3.774999999999999889e-11 9.370017252861591317e-02 1.151639765913845987e-05
3.981000000000000263e-11 9.579435070877376224e-02 6.457227181234528186e-06
3.984999999999999681e-11 9.791582501443130138e-02 2.680444340455457351e-06
4.000999999999999935e-11 1.004796323014777309e-01 7.765100157869978041e-07
4.021999999999999785e-11 1.026296390050174812e-01 6.463602857919891468e-07
4.076000000000000323e-11 1.041680769914516830e-01 1.611694296460101118e-06
4.163999999999999786e-11 1.064285239175630227e-01 1.199161601586071026e-06
4.185000000000000282e-11 1.086942852903285267e-01 1.838988638232913693e-06
4.294000000000000242e-11 1.107580624987097861e-01 1.279429548784614471e-06
4.360999999999999856e-11 1.086942851258694276e-01 1.838868306670241181e-06
4.400000000000000315e-11 1.064274919331592434e-01 1.358514264714881688e-06
4.465000000000000220e-11 1.084650363678194424e-01 2.534273973710548365e-06
4.629000000000000248e-11 1.107621165584816436e-01 6.420153194278124538e-07
