# event_id	barrier
1.141506000000000000e+06 8.636196299999999715e-01
5.494340000000000000e+05 8.034924799999999534e-01
7.653060000000000000e+05 1.062388190000000066e+00
2.849760000000000000e+05 1.194057060000000003e+00
5.718610000000000000e+05 4.645650800000000191e-01
1.232144000000000000e+06 4.579715400000000103e-01
8.753220000000000000e+05 6.990234499999999906e-01
5.433670000000000000e+05 6.949557800000000229e-01
1.299400000000000000e+05 3.051256299999999810e-01
1.241310000000000000e+06 4.711643300000000201e-01
2.135420000000000000e+05 7.355633499999999492e-01
7.136760000000000000e+05 3.342006399999999933e-01
7.881440000000000000e+05 9.906227100000000174e-01
3.417650000000000000e+05 1.101483299999999943e+00
1.294879000000000000e+06 9.162574399999999786e-01
5.161880000000000000e+05 7.990180799999999639e-01
2.914620000000000000e+05 7.713664199999999971e-01
4.354000000000000000e+04 8.385114500000000470e-01
3.243490000000000000e+05 1.117595789999999978e+00
5.552830000000000000e+05 1.084271130000000083e+00
2.205630000000000000e+05 5.938943800000000550e-01
2.923710000000000000e+05 5.738267299999999516e-01
2.016520000000000000e+05 5.883384200000000286e-01
3.162390000000000000e+05 7.416994999999999560e-01
1.304020000000000000e+05 6.934764199999999823e-01
1.243333000000000000e+06 7.805082800000000542e-01
6.379730000000000000e+05 1.117941690000000099e+00
6.326960000000000000e+05 1.370789339999999967e+00
6.389810000000000000e+05 6.025020599999999504e-01
8.072850000000000000e+05 4.986431299999999900e-01
5.593030000000000000e+05 5.777794400000000330e-01
9.845070000000000000e+05 1.964331400000000061e-01
9.923600000000000000e+05 6.128128000000000464e-01
1.009598000000000000e+06 5.034548800000000490e-01
1.344000000000000000e+04 8.920518800000000192e-01
1.344100000000000000e+04 7.897946399999999922e-01
2.264750000000000000e+05 6.742261499999999685e-01
1.013900000000000000e+05 6.029406099999999880e-01
5.784500000000000000e+05 9.671137199999999545e-01
5.185320000000000000e+05 8.079155500000000378e-01
7.641710000000000000e+05 4.384716100000000116e-01
9.758280000000000000e+05 2.717089200000000204e-01
1.242194000000000000e+06 1.149742220000000037e+00
6.496730000000000000e+05 1.124937169999999931e+00
2.882460000000000000e+05 1.592325849999999932e+00
1.684980000000000000e+05 1.430928509999999987e+00
5.750410000000000000e+05 1.047047770000000044e+00
4.669520000000000000e+05 9.969806599999999630e-01
1.982690000000000000e+05 3.546857800000000061e-01
2.581570000000000000e+05 3.839675699999999803e-01
4.203870000000000000e+05 9.606293700000000380e-01
2.827150000000000000e+05 5.741799100000000156e-01
1.039225000000000000e+06 1.189664669999999980e+00
1.137810000000000000e+06 1.090808309999999892e+00
5.866860000000000000e+05 1.247555490000000100e+00
6.163290000000000000e+05 9.456693699999999536e-01
1.122608000000000000e+06 7.393823600000000162e-01
3.289510000000000000e+05 3.527970599999999957e-01
3.438720000000000000e+05 5.952008600000000538e-01
6.545200000000000000e+05 4.067434200000000222e-01
5.964180000000000000e+05 4.805522799999999983e-01
1.140938000000000000e+06 2.810361399999999898e-01
1.223126000000000000e+06 8.743872400000000100e-01
1.055470000000000000e+05 8.519521300000000297e-01
1.093829000000000000e+06 8.181819900000000256e-01
1.905490000000000000e+05 7.982426200000000138e-01
1.163112000000000000e+06 9.216706099999999457e-01
1.265465000000000000e+06 8.428098499999999715e-01
8.919530000000000000e+05 8.027294900000000455e-01
9.104880000000000000e+05 5.685536100000000426e-01
9.044470000000000000e+05 8.591434199999999910e-01
9.615250000000000000e+05 7.814029300000000511e-01
4.678410000000000000e+05 8.867021499999999667e-01
1.248530000000000000e+05 8.287981500000000112e-01
6.224040000000000000e+05 7.327659199999999595e-01
1.028157000000000000e+06 6.151585400000000314e-01
7.285650000000000000e+05 9.569510900000000042e-01
2.581580000000000000e+05 3.830129299999999737e-01
1.982700000000000000e+05 3.537047799999999964e-01
6.714310000000000000e+05 1.028872280000000083e+00
1.219990000000000000e+05 8.992845299999999709e-01
8.267560000000000000e+05 6.364793499999999993e-01
2.572300000000000000e+04 5.071400400000000142e-01
5.234520000000000000e+05 9.085239200000000404e-01
4.803630000000000000e+05 1.029673950000000060e+00
7.826140000000000000e+05 7.813969899999999580e-01
6.003560000000000000e+05 8.098501599999999856e-01
7.958500000000000000e+04 5.611364800000000486e-01
1.290591000000000000e+06 6.436775799999999714e-01
1.013910000000000000e+05 6.022721899999999851e-01
2.264760000000000000e+05 6.732394999999999907e-01
2.793660000000000000e+05 6.847206900000000207e-01
7.494900000000000000e+05 6.535081099999999754e-01
9.414060000000000000e+05 5.518180499999999489e-01
6.796140000000000000e+05 6.533568299999999995e-01
6.510280000000000000e+05 1.019137310000000074e+00
7.245690000000000000e+05 1.121550669999999972e+00
5.972290000000000000e+05 3.936861199999999728e-01
2.106750000000000000e+05 6.083589200000000252e-01
8.131370000000000000e+05 5.231967400000000490e-01
3.429440000000000000e+05 7.052819500000000463e-01
6.705590000000000000e+05 1.122246660000000062e+00
1.025400000000000000e+05 5.284836000000000533e-01
2.793670000000000000e+05 8.461593899999999557e-01
7.494910000000000000e+05 8.151849399999999690e-01
8.919540000000000000e+05 8.291394100000000211e-01
6.224050000000000000e+05 7.953496100000000402e-01
1.028158000000000000e+06 8.277510500000000437e-01
1.140939000000000000e+06 2.919166100000000208e-01
5.964190000000000000e+05 4.703098700000000187e-01
2.366840000000000000e+05 7.299838899999999686e-01
1.143069000000000000e+06 8.610911399999999771e-01
6.488220000000000000e+05 7.211878699999999531e-01
1.670500000000000000e+05 3.338958000000000204e-01
7.696680000000000000e+05 8.519936000000000176e-01
5.400780000000000000e+05 9.727907599999999766e-01
3.429450000000000000e+05 7.036020400000000397e-01
8.131380000000000000e+05 5.207603600000000332e-01
3.438730000000000000e+05 4.602736800000000184e-01
3.549600000000000000e+05 8.149930100000000177e-01
9.615260000000000000e+05 4.231257099999999882e-01
1.168370000000000000e+06 7.615536000000000527e-01
3.107210000000000000e+05 6.921709700000000520e-01
7.594620000000000000e+05 4.010018000000000193e-01
6.718780000000000000e+05 5.508910700000000382e-01
1.287286000000000000e+06 1.167699360000000075e+00
1.104411000000000000e+06 1.312953070000000055e+00
9.615270000000000000e+05 4.283004100000000203e-01
3.071770000000000000e+05 5.551470200000000466e-01
5.538710000000000000e+05 4.956558899999999879e-01
1.426260000000000000e+05 7.853685299999999536e-01
8.886000000000000000e+03 8.406045899999999849e-01
4.810730000000000000e+05 4.631617900000000176e-01
1.293932000000000000e+06 5.988109200000000243e-01
3.304040000000000000e+05 6.426637699999999676e-01
6.818410000000000000e+05 7.401699800000000051e-01
9.322320000000000000e+05 1.389142209999999933e+00
9.335200000000000000e+04 1.494291889999999956e+00
6.337260000000000000e+05 7.226897700000000091e-01
7.928150000000000000e+05 1.474163399999999902e+00
9.768300000000000000e+04 1.470564970000000082e+00
1.009599000000000000e+06 7.273862899999999909e-01
7.840000000000000000e+02 8.761754400000000276e-01
9.923610000000000000e+05 7.798359799999999842e-01
3.071780000000000000e+05 7.453054300000000465e-01
5.538720000000000000e+05 6.855236099999999499e-01
1.125960000000000000e+05 1.485384510000000047e+00
4.996140000000000000e+05 8.409807999999999728e-01
6.337270000000000000e+05 7.245738400000000246e-01
1.171190000000000000e+06 8.633302699999999552e-01
7.850700000000000000e+05 6.161664799999999609e-01
1.171191000000000000e+06 1.050840210000000052e+00
7.850710000000000000e+05 8.033657199999999499e-01
9.019500000000000000e+05 5.492222500000000229e-01
6.273520000000000000e+05 5.637072199999999533e-01
6.940230000000000000e+05 4.745764000000000093e-01
9.516500000000000000e+05 5.198804900000000284e-01
5.789190000000000000e+05 7.448588999999999904e-01
2.464820000000000000e+05 4.030782399999999766e-01
6.689240000000000000e+05 7.715215199999999607e-01
8.780090000000000000e+05 7.283934899999999768e-01
3.257280000000000000e+05 1.028687190000000085e+00
5.614300000000000000e+05 9.650716200000000189e-01
8.663400000000000000e+05 9.240534200000000142e-01
3.584880000000000000e+05 3.062083340000000042e+00
1.046814000000000000e+06 1.256453999999999904e-01
3.787030000000000000e+05 5.891140000000000265e-01
9.984660000000000000e+05 3.844198200000000232e-01
9.884880000000000000e+05 1.512056260000000041e+00
8.553930000000000000e+05 4.419562599999999897e-01
1.131874000000000000e+06 7.833145000000000246e-01
1.085413000000000000e+06 7.087915700000000374e-01
3.840250000000000000e+05 3.653977499999999878e+00
2.726270000000000000e+05 9.696915000000000395e-02
7.412000000000000000e+05 1.006601040000000058e+00
1.014454000000000000e+06 8.769004200000000138e-01
9.361520000000000000e+05 1.383716890000000088e+00
7.260780000000000000e+05 1.083739009999999947e+00
9.104890000000000000e+05 8.332629700000000472e-01
8.919550000000000000e+05 8.398394099999999529e-01
2.077140000000000000e+05 5.786612700000000054e-01
2.937730000000000000e+05 5.608833199999999630e-01
3.222430000000000000e+05 7.702116500000000254e-01
8.022000000000000000e+04 7.347979900000000120e-01
1.044833000000000000e+06 1.034689729999999974e+00
6.383840000000000000e+05 1.023887690000000017e+00
6.273530000000000000e+05 5.618181399999999659e-01
9.019510000000000000e+05 5.470501199999999731e-01
1.290592000000000000e+06 8.748333400000000148e-01
7.958600000000000000e+04 9.057843199999999761e-01
8.887000000000000000e+03 1.262486860000000100e+00
1.426270000000000000e+05 1.151341029999999988e+00
6.780880000000000000e+05 8.730940900000000449e-01
4.979000000000000000e+03 8.597597399999999945e-01
3.289400000000000000e+05 5.342370499999999911e-01
3.713740000000000000e+05 5.895670299999999919e-01
3.047340000000000000e+05 8.800272700000000281e-01
2.207570000000000000e+05 7.135290800000000377e-01
1.299708000000000000e+06 9.011462900000000165e-01
6.127120000000000000e+05 4.598086900000000199e-01
3.492070000000000000e+05 6.008144499999999999e-01
1.136069000000000000e+06 4.293639200000000100e-01
4.569710000000000000e+05 1.035400639999999983e+00
8.582420000000000000e+05 6.412686600000000459e-01
1.295907000000000000e+06 8.532337100000000341e-01
1.074250000000000000e+06 8.218046799999999541e-01
7.850720000000000000e+05 4.105162800000000112e-01
1.171192000000000000e+06 5.698359699999999695e-01
1.136070000000000000e+06 4.315092700000000003e-01
3.492080000000000000e+05 6.032051699999999572e-01
1.153460000000000000e+05 8.223075499999999982e-01
7.150890000000000000e+05 7.237541199999999453e-01
5.736590000000000000e+05 1.016844749999999964e+00
1.250760000000000000e+06 1.154120990000000013e+00
1.214234000000000000e+06 1.148841840000000003e+00
1.069627000000000000e+06 1.285993010000000103e+00
1.802350000000000000e+05 3.505069629999999936e+00
4.204280000000000000e+05 1.506320200000000054e-01
1.385660000000000000e+05 3.726827200000000229e-01
9.537480000000000000e+05 6.335563300000000009e-01
1.174849000000000000e+06 5.985559000000000296e-01
1.929540000000000000e+05 7.177630600000000083e-01
9.127650000000000000e+05 8.252787999999999791e-01
1.095430000000000000e+05 1.014959759999999989e+00
4.612300000000000000e+04 1.064497159999999942e+00
6.541300000000000000e+05 1.034194810000000020e+00
7.850730000000000000e+05 4.077608099999999736e-01
1.171193000000000000e+06 5.283629600000000481e-01
4.377270000000000000e+05 9.022967200000000521e-01
2.826290000000000000e+05 9.938910800000000378e-01
5.821280000000000000e+05 1.056417380000000072e+00
6.532770000000000000e+05 1.245208850000000034e+00
2.243870000000000000e+05 1.131478259999999958e+00
8.334000000000000000e+04 1.544503879999999940e+00
1.186712000000000000e+06 7.004665399999999709e-01
8.828460000000000000e+05 7.199240399999999873e-01
4.497640000000000000e+05 9.927016400000000518e-01
4.520500000000000000e+05 1.014258639999999989e+00
1.216141000000000000e+06 6.054384699999999508e-01
