# time dx dy dz
2.749999999999999809e-10 -5.724218000000000917e-01 7.296053323200000218e-01 4.060552963600000953e-01
2.751000000000000116e-10 7.025501000000001772e-01 -8.507970323199999241e-01 -3.231352381600000045e-01
2.751000000000000116e-10 1.617611792820000005e+00 -4.549009061000000576e-02 1.462822100000000347e+00
2.825999999999999857e-10 -2.918234591000001821e-02 -1.467935809390000124e+00 -1.353268899999999775e+00
2.857000000000000060e-10 2.173103079479999700e+00 -8.180859999999985643e-02 1.893902804040000332e+00
2.960999999999999908e-10 -1.539418527580000084e+00 -1.194401054300000681e-01 1.407177487640000058e+00
2.968999999999999777e-10 -9.730190000000009387e-02 1.521555799999999792e+00 -1.319891889600000034e+00
2.980999999999999839e-10 1.595826001950000350e+00 -1.442002111980000167e+00 7.483799999999979358e-02
3.009999999999999946e-10 -8.836687019999996118e-02 1.504988800000000015e+00 -1.474089900000000064e+00
3.014999999999999928e-10 1.529969199999999585e+00 1.504044609300000168e+00 -9.884002008000018769e-02
3.019000000000000121e-10 -1.393691299999999966e+00 -1.576992356600000145e+00 6.836406789000031015e-02
3.019000000000000121e-10 7.052899999999848180e-03 -1.457988100000000120e+00 -1.584283985130000350e+00
3.059999999999999773e-10 -3.974539999999985446e-02 1.411401899999999987e+00 1.604570849810000421e+00
3.122999999999999969e-10 1.529209099999999877e+00 1.505435100269999937e+00 -9.874405608000018375e-02
3.125999999999999855e-10 -1.394016800000000167e+00 -1.577542036440000128e+00 6.752385607999963901e-02
3.134000000000000241e-10 -1.450906467849999881e+00 -2.441189400000018384e-02 1.348306671780000077e+00
3.137999999999999917e-10 5.968977678500001494e-01 -2.471826000000001411e-01 -5.941516999999997273e-01
3.137999999999999917e-10 8.901553999999998190e-01 1.598973815500003282e-01 -8.436700999999999784e-01
3.140000000000000014e-10 -1.453019614169999585e+00 -2.057708042000019888e-02 1.349346842380000355e+00
3.174999999999999893e-10 5.969235141700000025e-01 -2.473030999999997204e-01 -5.939462000000004238e-01
3.174999999999999893e-10 8.901584999999999637e-01 1.598960815499998189e-01 -8.436668999999996643e-01
3.176999999999999989e-10 1.528399799999999864e+00 1.507214017199999923e+00 -9.789840092000004490e-02
3.179000000000000086e-10 2.356495393300000463e-01 -2.444160915679999935e+00 2.499697174119999588e+00
3.199999999999999806e-10 -1.369726814509999668e+00 1.479568500000000064e+00 -1.126060933999976574e-02
3.201000000000000113e-10 1.378947200000000262e+00 1.347691000000000305e-01 -1.466380821860000072e+00
3.211000000000000079e-10 1.519490400399998165e-01 1.525282950090000478e+00 1.471982021809999930e+00
3.307999999999999847e-10 2.299540000000022122e-02 -1.406677000000000399e+00 -1.397860821809999932e+00
3.326000000000000198e-10 -1.532142900000000196e+00 2.614350000000015273e-02 -1.530602599999999924e+00
3.358999999999999981e-10 1.533895699999999973e+00 1.519986499999999907e+00 -5.092651494999929362e-02
3.359999999999999771e-10 1.520422065970000070e+00 -6.744801830000035636e-03 1.481464099999999950e+00
3.383000000000000105e-10 7.684995678999984037e-02 1.300712499999999938e+00 1.562427500000000080e+00
3.383999999999999895e-10 -1.607425932999999585e-01 1.543985300000000116e+00 -1.485861799999999899e+00
3.383999999999999895e-10 6.640527507300027221e-02 -1.716947000000000223e+00 -1.546302399999999633e+00
3.420000000000000081e-10 1.590712926699977547e-02 -1.468678099999999986e+00 -1.513632100000000147e+00
3.420999999999999870e-10 -4.272274503299987314e-02 1.630695199999999900e+00 -1.280107493400000074e+00
3.422999999999999967e-10 -1.667398022045899930e+00 -3.355829999999995761e-02 -1.512478855859999527e+00
3.423999999999999757e-10 -1.522315266889999963e+00 -1.421392399999999778e+00 7.486729999999996998e-02
3.430999999999999836e-10 -1.736054548000000586e-01 -7.367412000000000960e-01 6.214742999999999240e-01
3.432000000000000143e-10 1.066620384000000893e-01 8.858963000000000809e-01 -7.563837999999999395e-01
3.452000000000000074e-10 -1.736313474500000564e-01 -7.366918999999999551e-01 6.214579000000000075e-01
3.452000000000000074e-10 1.066896615600000098e-01 8.858666000000000595e-01 -7.563887000000000249e-01
3.464999999999999925e-10 -1.736518706099999809e-01 -7.366414000000002238e-01 6.214398999999999340e-01
3.466000000000000232e-10 4.901088506999998901e-02 -6.069424163399999017e-01 7.047928253399997622e-01
3.477999999999999777e-10 -4.836685930999985727e-02 -1.510169392439999925e+00 1.547916400000000081e+00
3.651000000000000110e-10 1.354220699999999722e+00 -8.425248510000026003e-02 1.497874900000000009e+00
3.658999999999999979e-10 -1.503475990650000149e+00 1.403383750699998544e-01 1.377087600000000300e+00
3.670000000000000251e-10 1.492693300000000223e+00 1.559997924929999780e+00 1.063119619630000651e-01
3.676000000000000024e-10 -1.440943400000000540e+00 -1.405159756999974432e-02 1.375549038036999683e+00
3.688000000000000086e-10 1.449778145630000292e+00 1.443719981499997640e-01 -1.448980338036999882e+00
3.715000000000000096e-10 1.443561999999997680e-01 1.617699200000000115e+00 1.424530638036999752e+00
3.771000000000000213e-10 1.422284964262000129e+00 -3.924179482999998192e-02 -1.376009908139999904e+00
3.890999999999999798e-10 -1.426235094472000364e+00 -8.767943468999989109e-02 1.493302201390000139e+00
3.983999999999999891e-10 1.423364343213999739e+00 -3.998362709999997433e-02 -1.377292674920000071e+00
4.074999999999999887e-10 -1.349822210464000083e+00 -1.591133100000000411e+00 5.486480923999978443e-02
4.079000000000000080e-10 -1.547532099999999966e+00 3.215050000000002628e-02 -1.549096877540000028e+00
4.086999999999999949e-10 1.470118543789999954e+00 1.623778600000000072e+00 -9.091900000000180393e-03
4.096000000000000124e-10 5.498996097000014016e-02 1.407243599999999928e+00 -1.537419099999999927e+00
4.113000000000000169e-10 -1.370924199999999482e+00 1.595142599999999966e+00 1.481259999999998134e-02
4.185000000000000024e-10 -1.229443000000000341e-01 1.550181100000000090e+00 1.625718999999999692e+00
4.205999999999999745e-10 1.344752042959999949e+00 1.348556299999999819e+00 -3.659589999999979248e-02
4.221999999999999999e-10 1.523645700000000103e+00 -1.630324499999999954e+00 -4.767445373999996960e-02
4.224000000000000096e-10 1.283560899999999894e+00 2.873126519999994605e-02 1.202527353740000304e+00
4.278999999999999906e-10 1.625345225219000156e+00 -4.852299999999989955e-02 -1.390978400000000503e+00
4.310999999999999899e-10 -1.481618685889000142e+00 1.471093100000000486e+00 -1.116043999999996872e-01
4.312000000000000206e-10 1.362789097799998461e-01 1.362616500000000119e+00 1.437516930809999760e+00
4.354999999999999954e-10 1.531433290219999632e+00 -1.860129999999999839e-01 1.460906669189999896e+00
4.355999999999999744e-10 -5.576226212999985110e-02 1.290843800000000208e+00 1.124019732749999667e+00
4.367000000000000016e-10 1.060610719399999458e-01 1.470135899999999829e+00 1.368073000759999935e+00
4.376000000000000191e-10 1.444723258489999607e+00 1.524269100000000154e+00 -7.220570682000017337e-02
4.396000000000000122e-10 9.015937754000113991e-03 1.491184399999999854e+00 1.477414359786800357e+00
4.435000000000000195e-10 1.457890999999999493e-01 1.438761400000000190e+00 1.478628575539999934e+00
4.440000000000000177e-10 -1.492204999999999782e-01 -1.298846900000000026e+00 -1.371145499999999906e+00
4.453999999999999819e-10 -1.525294384419999982e+00 -1.571974000000000204e+00 7.203199999999995717e-02
4.465000000000000091e-10 -1.408337400000000184e+00 1.429084938449999953e+00 3.472560000000007863e-02
4.482999999999999925e-10 1.603229400000000471e+00 -1.477991238450000022e+00 -1.097509000000000401e-01
4.580000000000000211e-10 -7.771299182000043770e-02 -1.471775300000000009e+00 -1.557575700100000127e+00
4.607000000000000221e-10 3.128986499999347748e-04 1.575298300000000040e+00 1.585226527080000114e+00
4.650999999999999759e-10 -1.030264635499997666e-01 1.337103000000000153e+00 1.305175397169999751e+00
4.663000000000000338e-10 8.065070999999999213e-01 1.550408812599999298e-01 6.410176000000002983e-01
4.663000000000000338e-10 7.052936346900001707e-01 6.435556587999984035e-02 6.913492999999999444e-01
4.677999999999999769e-10 1.446418865309999857e+00 1.316284097830000110e+00 -1.470622999999998959e-01
4.694999999999999814e-10 -1.405941065309999960e+00 -1.257988000000000106e+00 5.546259999999990364e-02
4.710999999999999552e-10 1.449404765309999732e+00 1.313314797830000158e+00 -1.446213999999999000e-01
4.714999999999999745e-10 -1.407293365309999711e+00 -1.256109600000000048e+00 5.335320000000007279e-02
4.731000000000000517e-10 1.450975565309999826e+00 1.311502197830000105e+00 -1.431413999999999465e-01
