# AtomId eventId barrier
1.630000000000000000e+02 1.168085000000000000e+06 8.722959999999999603e-01
7.760000000000000000e+02 1.138401000000000000e+06 1.313590999999999953e+00
7.760000000000000000e+02 1.697940000000000000e+05 1.409834999999999949e+00
8.470000000000000000e+02 3.901000000000000000e+03 7.195510000000000517e-01
1.630000000000000000e+02 2.987550000000000000e+05 8.462239999999999762e-01
5.180000000000000000e+02 3.028610000000000000e+05 1.002834999999999921e+00
8.470000000000000000e+02 1.911720000000000000e+05 7.691500000000000004e-01
4.200000000000000000e+01 1.056176000000000000e+06 6.564130000000000242e-01
1.630000000000000000e+02 5.892280000000000000e+05 5.389119999999999466e-01
8.470000000000000000e+02 7.927110000000000000e+05 6.517279999999999740e-01
4.200000000000000000e+01 1.148973000000000000e+06 8.243260000000000032e-01
4.200000000000000000e+01 2.280190000000000000e+05 1.075048999999999921e+00
4.200000000000000000e+01 1.148972000000000000e+06 8.224650000000000016e-01
1.630000000000000000e+02 1.182242000000000000e+06 7.235700000000000465e-01
1.630000000000000000e+02 1.237506000000000000e+06 1.039152999999999993e+00
1.178000000000000000e+03 9.843190000000000000e+05 7.762120000000000131e-01
1.187000000000000000e+03 1.278950000000000000e+06 9.989500000000000046e-01
4.200000000000000000e+01 1.056176000000000000e+06 6.564109999999999667e-01
1.630000000000000000e+02 5.892280000000000000e+05 5.389119999999999466e-01
8.470000000000000000e+02 9.610540000000000000e+05 6.521609999999999907e-01
1.630000000000000000e+02 1.168085000000000000e+06 9.461300000000000265e-01
7.760000000000000000e+02 1.081250000000000000e+06 1.568980999999999959e+00
8.470000000000000000e+02 1.331210000000000000e+05 7.859540000000000415e-01
4.200000000000000000e+01 1.056176000000000000e+06 9.734739999999999505e-01
1.630000000000000000e+02 1.122660000000000000e+06 7.420440000000000369e-01
7.420000000000000000e+02 9.589010000000000000e+05 7.137029999999999763e-01
7.420000000000000000e+02 6.964270000000000000e+05 1.147650999999999977e+00
7.760000000000000000e+02 8.175800000000000000e+04 9.165010000000000101e-01
1.325000000000000000e+03 1.077463000000000000e+06 1.177554999999999907e+00
1.630000000000000000e+02 1.168085000000000000e+06 9.461009999999999698e-01
7.760000000000000000e+02 1.081250000000000000e+06 1.568977000000000066e+00
8.470000000000000000e+02 1.331210000000000000e+05 7.870800000000000018e-01
4.200000000000000000e+01 1.056176000000000000e+06 6.563409999999999522e-01
1.630000000000000000e+02 5.892280000000000000e+05 5.378600000000000048e-01
8.470000000000000000e+02 9.610540000000000000e+05 6.522310000000000052e-01
4.200000000000000000e+01 1.148973000000000000e+06 8.243289999999999784e-01
4.200000000000000000e+01 2.280190000000000000e+05 1.075048999999999921e+00
4.200000000000000000e+01 1.148972000000000000e+06 8.224690000000000056e-01
1.630000000000000000e+02 1.182242000000000000e+06 7.235690000000000177e-01
1.630000000000000000e+02 1.237506000000000000e+06 1.039150999999999936e+00
1.178000000000000000e+03 9.843190000000000000e+05 7.762090000000000378e-01
1.187000000000000000e+03 1.278950000000000000e+06 9.989519999999999511e-01
1.630000000000000000e+02 9.211770000000000000e+05 4.025810000000000222e-01
6.820000000000000000e+02 9.173120000000000000e+05 1.076052000000000008e+00
8.470000000000000000e+02 9.267810000000000000e+05 1.017214000000000063e+00
9.330000000000000000e+02 3.201890000000000000e+05 6.372830000000000439e-01
1.187000000000000000e+03 4.847280000000000000e+05 8.882409999999999473e-01
4.200000000000000000e+01 1.148973000000000000e+06 8.243399999999999617e-01
4.200000000000000000e+01 2.280190000000000000e+05 1.075061000000000044e+00
4.200000000000000000e+01 1.148972000000000000e+06 8.224789999999999601e-01
1.630000000000000000e+02 1.182242000000000000e+06 7.235810000000000297e-01
1.630000000000000000e+02 1.237506000000000000e+06 1.039164999999999894e+00
1.178000000000000000e+03 9.843190000000000000e+05 7.762229999999999963e-01
1.187000000000000000e+03 1.278950000000000000e+06 9.989599999999999591e-01
1.630000000000000000e+02 9.211770000000000000e+05 4.025790000000000202e-01
6.820000000000000000e+02 9.173120000000000000e+05 1.076052000000000008e+00
8.470000000000000000e+02 9.267810000000000000e+05 1.017214000000000063e+00
9.330000000000000000e+02 3.201890000000000000e+05 6.372799999999999576e-01
1.187000000000000000e+03 4.847280000000000000e+05 8.882409999999999473e-01
4.200000000000000000e+01 1.148973000000000000e+06 8.243580000000000352e-01
4.200000000000000000e+01 2.280190000000000000e+05 1.075078999999999896e+00
4.200000000000000000e+01 1.148972000000000000e+06 8.224989999999999801e-01
1.630000000000000000e+02 1.182242000000000000e+06 7.235930000000000417e-01
1.630000000000000000e+02 1.237506000000000000e+06 1.039182000000000050e+00
1.178000000000000000e+03 9.843190000000000000e+05 7.762390000000000123e-01
1.187000000000000000e+03 1.278950000000000000e+06 9.989780000000000326e-01
7.650000000000000000e+02 2.248600000000000000e+05 6.997430000000000039e-01
1.178000000000000000e+03 2.292170000000000000e+05 6.354459999999999553e-01
1.187000000000000000e+03 1.071640000000000000e+05 9.409889999999999644e-01
1.178000000000000000e+03 3.729360000000000000e+05 8.822510000000000074e-01
7.650000000000000000e+02 2.248600000000000000e+05 6.997459999999999791e-01
1.178000000000000000e+03 2.292170000000000000e+05 6.362609999999999655e-01
1.187000000000000000e+03 1.071640000000000000e+05 9.409910000000000219e-01
3.140000000000000000e+02 1.185437000000000000e+06 7.389360000000000372e-01
7.650000000000000000e+02 8.563280000000000000e+05 6.736069999999999558e-01
8.650000000000000000e+02 9.252900000000000000e+04 6.974820000000000464e-01
3.140000000000000000e+02 7.050620000000000000e+05 8.820980000000000487e-01
7.770000000000000000e+02 4.500630000000000000e+05 8.128030000000000532e-01
9.990000000000000000e+02 1.094050000000000000e+05 7.707340000000000302e-01
1.260000000000000000e+02 1.141647000000000000e+06 7.488629999999999454e-01
4.550000000000000000e+02 1.056578000000000000e+06 1.361131000000000091e+00
4.790000000000000000e+02 8.069090000000000000e+05 9.625629999999999464e-01
6.720000000000000000e+02 1.140281000000000000e+06 9.567189999999999861e-01
9.140000000000000000e+02 5.407970000000000000e+05 8.301770000000000538e-01
3.140000000000000000e+02 7.050620000000000000e+05 8.821219999999999617e-01
7.770000000000000000e+02 4.500630000000000000e+05 8.128159999999999830e-01
9.990000000000000000e+02 1.094050000000000000e+05 7.707380000000000342e-01
4.550000000000000000e+02 4.975020000000000000e+05 1.048238999999999921e+00
4.740000000000000000e+02 3.499900000000000000e+05 9.809419999999999806e-01
8.650000000000000000e+02 8.897890000000000000e+05 7.466949999999999976e-01
9.140000000000000000e+02 1.127755000000000000e+06 6.307080000000000464e-01
9.990000000000000000e+02 3.213830000000000000e+05 8.507390000000000230e-01
3.220000000000000000e+02 1.169736000000000000e+06 1.257805999999999980e+00
4.550000000000000000e+02 3.501360000000000000e+05 9.536810000000000009e-01
4.550000000000000000e+02 2.466980000000000000e+05 9.527740000000000098e-01
6.720000000000000000e+02 9.211770000000000000e+05 8.417189999999999950e-01
9.140000000000000000e+02 9.873930000000000000e+05 5.306910000000000238e-01
9.990000000000000000e+02 1.201996000000000000e+06 1.024974999999999969e+00
3.220000000000000000e+02 1.299280000000000000e+06 1.088465999999999934e+00
6.720000000000000000e+02 1.182242000000000000e+06 8.411459999999999493e-01
2.910000000000000000e+02 6.910690000000000000e+05 1.224674000000000040e+00
3.220000000000000000e+02 2.658650000000000000e+05 1.027981000000000034e+00
5.780000000000000000e+02 9.667010000000000000e+05 1.481338999999999961e+00
3.220000000000000000e+02 3.296800000000000000e+05 1.011376999999999970e+00
5.780000000000000000e+02 1.008045000000000000e+06 9.712600000000000122e-01
8.900000000000000000e+02 1.238468000000000000e+06 5.922290000000000054e-01
3.220000000000000000e+02 8.433110000000000000e+05 1.218031000000000086e+00
6.720000000000000000e+02 5.892280000000000000e+05 4.763459999999999916e-01
6.720000000000000000e+02 5.892280000000000000e+05 4.762600000000000167e-01
3.220000000000000000e+02 8.433110000000000000e+05 1.217711999999999906e+00
3.220000000000000000e+02 1.265432000000000000e+06 8.034759999999999680e-01
6.720000000000000000e+02 5.892280000000000000e+05 5.957780000000000298e-01
1.210000000000000000e+03 6.412400000000000000e+05 8.881109999999999838e-01
1.299000000000000000e+03 6.364070000000000000e+05 9.810980000000000256e-01
1.210000000000000000e+03 1.505700000000000000e+04 6.307500000000000329e-01
1.210000000000000000e+03 1.677730000000000000e+05 1.015123999999999915e+00
1.364000000000000000e+03 2.571630000000000000e+05 4.996780000000000110e-01
3.220000000000000000e+02 1.265432000000000000e+06 8.034769999999999968e-01
6.720000000000000000e+02 5.892280000000000000e+05 5.957959999999999923e-01
1.210000000000000000e+03 6.412400000000000000e+05 8.879470000000000418e-01
1.299000000000000000e+03 6.364070000000000000e+05 9.810950000000000504e-01
1.210000000000000000e+03 1.505700000000000000e+04 6.302079999999999904e-01
1.210000000000000000e+03 1.677730000000000000e+05 1.015195999999999987e+00
1.364000000000000000e+03 3.901000000000000000e+03 4.968710000000000071e-01
1.210000000000000000e+03 6.491200000000000000e+04 8.426470000000000349e-01
1.299000000000000000e+03 8.005080000000000000e+05 6.131410000000000471e-01
1.359000000000000000e+03 7.242690000000000000e+05 6.619310000000000471e-01
1.364000000000000000e+03 1.202669000000000000e+06 8.064440000000000497e-01
1.364000000000000000e+03 2.968330000000000000e+05 6.728199999999999736e-01
1.210000000000000000e+03 6.491200000000000000e+04 8.425740000000000451e-01
1.299000000000000000e+03 8.005080000000000000e+05 6.131410000000000471e-01
1.359000000000000000e+03 7.242690000000000000e+05 6.619340000000000224e-01
1.364000000000000000e+03 1.202669000000000000e+06 8.065309999999999979e-01
1.364000000000000000e+03 2.968330000000000000e+05 6.728229999999999489e-01
1.030000000000000000e+03 6.310800000000000000e+04 4.390600000000000058e-01
1.030000000000000000e+03 3.749540000000000000e+05 6.329369999999999719e-01
3.000000000000000000e+02 1.059630000000000000e+06 7.959800000000000209e-01
1.290000000000000000e+02 1.137264000000000000e+06 5.469960000000000377e-01
3.000000000000000000e+02 6.328620000000000000e+05 8.168809999999999683e-01
1.030000000000000000e+03 6.690830000000000000e+05 1.502288000000000068e+00
3.000000000000000000e+02 5.255590000000000000e+05 9.922220000000000484e-01
6.660000000000000000e+02 9.924770000000000000e+05 5.160820000000000407e-01
8.510000000000000000e+02 3.101690000000000000e+05 1.087174000000000085e+00
1.290000000000000000e+02 1.137264000000000000e+06 5.469990000000000130e-01
3.000000000000000000e+02 6.328620000000000000e+05 8.169070000000000498e-01
1.030000000000000000e+03 6.690830000000000000e+05 1.502288999999999985e+00
1.290000000000000000e+02 9.742270000000000000e+05 4.098760000000000181e-01
1.290000000000000000e+02 1.137264000000000000e+06 5.469990000000000130e-01
3.000000000000000000e+02 6.328620000000000000e+05 8.168959999999999555e-01
1.030000000000000000e+03 6.690830000000000000e+05 1.502420000000000089e+00
3.000000000000000000e+02 5.255590000000000000e+05 9.922309999999999741e-01
6.660000000000000000e+02 9.924770000000000000e+05 5.160810000000000120e-01
8.510000000000000000e+02 3.101690000000000000e+05 1.087175999999999920e+00
1.290000000000000000e+02 1.137264000000000000e+06 5.469410000000000105e-01
3.000000000000000000e+02 6.328620000000000000e+05 8.167780000000000040e-01
1.030000000000000000e+03 6.690830000000000000e+05 1.502291999999999961e+00
3.000000000000000000e+02 5.255590000000000000e+05 9.922299999999999454e-01
6.660000000000000000e+02 9.924770000000000000e+05 5.160820000000000407e-01
8.510000000000000000e+02 3.101690000000000000e+05 1.087169999999999970e+00
1.364000000000000000e+03 4.241760000000000000e+05 1.014442999999999984e+00
3.000000000000000000e+02 1.108355000000000000e+06 5.420620000000000438e-01
1.030000000000000000e+03 2.346030000000000000e+05 1.111949999999999994e+00
1.364000000000000000e+03 8.997240000000000000e+05 8.192110000000000225e-01
1.290000000000000000e+02 1.228663000000000000e+06 8.427989999999999648e-01
3.000000000000000000e+02 1.108355000000000000e+06 5.420620000000000438e-01
1.030000000000000000e+03 2.346030000000000000e+05 1.111946000000000101e+00
1.364000000000000000e+03 8.997240000000000000e+05 8.186050000000000271e-01
1.290000000000000000e+02 1.228663000000000000e+06 8.428050000000000264e-01
3.000000000000000000e+02 1.108355000000000000e+06 5.420629999999999615e-01
1.030000000000000000e+03 2.346030000000000000e+05 1.111947999999999936e+00
1.364000000000000000e+03 8.997240000000000000e+05 8.188309999999999755e-01
3.000000000000000000e+02 6.328620000000000000e+05 7.921390000000000375e-01
9.290000000000000000e+02 7.587490000000000000e+05 8.194730000000000070e-01
9.290000000000000000e+02 1.359580000000000000e+05 9.592910000000000048e-01
1.364000000000000000e+03 2.520750000000000000e+05 1.209716000000000014e+00
1.364000000000000000e+03 1.002614000000000000e+06 1.233197000000000099e+00
1.364000000000000000e+03 1.202669000000000000e+06 3.005019999999999913e-01
3.000000000000000000e+02 3.157410000000000000e+05 5.086540000000000505e-01
1.331000000000000000e+03 1.679500000000000000e+05 1.003155000000000019e+00
1.364000000000000000e+03 4.241760000000000000e+05 1.014547000000000088e+00
3.000000000000000000e+02 1.108355000000000000e+06 5.420890000000000430e-01
1.030000000000000000e+03 2.346030000000000000e+05 1.111957000000000084e+00
1.364000000000000000e+03 8.997240000000000000e+05 8.188229999999999675e-01
1.290000000000000000e+02 2.149000000000000000e+03 1.005799000000000110e+00
1.780000000000000000e+02 4.160720000000000000e+05 9.964899999999999869e-01
3.000000000000000000e+02 6.386490000000000000e+05 4.526209999999999956e-01
3.000000000000000000e+02 1.108355000000000000e+06 5.420899999999999608e-01
1.030000000000000000e+03 2.346030000000000000e+05 1.111965000000000092e+00
1.364000000000000000e+03 8.997240000000000000e+05 8.190159999999999663e-01
1.364000000000000000e+03 1.911720000000000000e+05 1.011867999999999990e+00
1.030000000000000000e+03 2.046750000000000000e+05 1.199864000000000042e+00
1.116000000000000000e+03 9.358020000000000000e+05 6.903019999999999712e-01
1.210000000000000000e+03 2.589950000000000000e+05 1.132503000000000037e+00
9.790000000000000000e+02 2.277700000000000000e+04 8.127130000000000187e-01
1.210000000000000000e+03 7.055560000000000000e+05 9.945640000000000036e-01
2.910000000000000000e+02 6.909240000000000000e+05 8.033280000000000420e-01
3.220000000000000000e+02 5.901400000000000000e+05 9.911170000000000258e-01
9.990000000000000000e+02 3.023400000000000000e+05 7.500010000000000288e-01
1.210000000000000000e+03 1.208845000000000000e+06 8.108999999999999542e-01
1.210000000000000000e+03 1.677730000000000000e+05 8.116649999999999698e-01
3.220000000000000000e+02 1.265432000000000000e+06 8.150079999999999547e-01
6.720000000000000000e+02 5.892280000000000000e+05 6.603700000000000125e-01
1.210000000000000000e+03 6.412400000000000000e+05 8.936899999999999844e-01
1.299000000000000000e+03 6.364070000000000000e+05 9.189070000000000293e-01
4.100000000000000000e+02 2.520750000000000000e+05 8.169880000000000475e-01
8.990000000000000000e+02 7.594170000000000000e+05 9.462129999999999708e-01
1.299000000000000000e+03 1.130492000000000000e+06 9.650549999999999962e-01
1.364000000000000000e+03 2.520750000000000000e+05 7.496559999999999890e-01
6.660000000000000000e+02 4.455550000000000000e+05 5.796729999999999938e-01
1.030000000000000000e+03 1.295418000000000000e+06 6.782249999999999668e-01
1.364000000000000000e+03 4.390800000000000000e+04 5.601190000000000335e-01
4.100000000000000000e+02 2.520750000000000000e+05 8.166870000000000518e-01
8.990000000000000000e+02 7.594170000000000000e+05 9.462279999999999580e-01
1.299000000000000000e+03 1.130492000000000000e+06 9.650509999999999922e-01
1.364000000000000000e+03 1.073770000000000000e+06 7.496549999999999603e-01
4.100000000000000000e+02 9.149500000000000000e+05 1.220852999999999966e+00
5.470000000000000000e+02 1.074615000000000000e+06 7.644360000000000044e-01
5.470000000000000000e+02 1.074615000000000000e+06 7.644370000000000331e-01
5.470000000000000000e+02 1.074615000000000000e+06 7.644349999999999756e-01
5.470000000000000000e+02 1.820230000000000000e+05 7.895889999999999853e-01
1.330000000000000000e+03 2.224260000000000000e+05 1.198112000000000066e+00
1.330000000000000000e+03 1.030293000000000000e+06 1.828727999999999909e+00
5.470000000000000000e+02 2.795640000000000000e+05 8.836640000000000050e-01
8.990000000000000000e+02 1.285810000000000000e+05 1.045029999999999903e+00
5.100000000000000000e+01 6.776390000000000000e+05 7.362779999999999880e-01
4.100000000000000000e+02 1.296699000000000000e+06 1.276677000000000062e+00
6.370000000000000000e+02 1.091654000000000000e+06 1.419737999999999944e+00
8.990000000000000000e+02 9.267250000000000000e+05 1.007511000000000045e+00
4.100000000000000000e+02 9.149500000000000000e+05 1.227238000000000051e+00
5.470000000000000000e+02 1.228762000000000000e+06 8.755039999999999489e-01
8.990000000000000000e+02 1.244839000000000000e+06 1.339520999999999962e+00
5.100000000000000000e+01 6.776390000000000000e+05 7.362800000000000455e-01
4.100000000000000000e+02 1.296699000000000000e+06 1.276005000000000056e+00
6.370000000000000000e+02 1.091654000000000000e+06 1.419720000000000093e+00
8.990000000000000000e+02 9.267250000000000000e+05 1.007506999999999930e+00
5.470000000000000000e+02 2.795640000000000000e+05 8.835049999999999848e-01
8.990000000000000000e+02 1.285810000000000000e+05 1.044953000000000021e+00
5.470000000000000000e+02 1.785600000000000000e+05 1.122969000000000106e+00
4.100000000000000000e+02 9.149500000000000000e+05 1.227742000000000111e+00
5.470000000000000000e+02 1.228762000000000000e+06 8.753859999999999975e-01
8.990000000000000000e+02 1.244839000000000000e+06 1.339644000000000057e+00
5.470000000000000000e+02 1.785600000000000000e+05 1.122967999999999966e+00
4.100000000000000000e+02 9.149500000000000000e+05 1.227743000000000029e+00
5.470000000000000000e+02 1.228762000000000000e+06 8.754049999999999887e-01
8.990000000000000000e+02 1.244839000000000000e+06 1.339895000000000058e+00
5.470000000000000000e+02 1.785600000000000000e+05 1.122962999999999933e+00
5.470000000000000000e+02 3.045990000000000000e+05 1.075128000000000084e+00
4.100000000000000000e+02 1.204810000000000000e+05 1.112133999999999956e+00
5.470000000000000000e+02 1.259411000000000000e+06 3.925409999999999733e-01
8.990000000000000000e+02 1.238781000000000000e+06 1.159547000000000105e+00
5.100000000000000000e+01 6.776390000000000000e+05 7.387610000000000010e-01
4.100000000000000000e+02 1.296699000000000000e+06 1.300950000000000051e+00
6.370000000000000000e+02 1.091654000000000000e+06 1.394177999999999917e+00
8.990000000000000000e+02 9.267250000000000000e+05 1.015845000000000109e+00
5.100000000000000000e+01 1.170019000000000000e+06 6.658840000000000314e-01
5.100000000000000000e+01 3.372280000000000000e+05 6.664820000000000189e-01
6.370000000000000000e+02 1.168085000000000000e+06 9.174809999999999910e-01
