# n msd err cf err var err
2.800000000000000000e+01 1.012241454769823579e-01 3.603218352828027718e-05 8.152170446259456860e-01 1.965426042341378081e-06 4.434583497218393816e-03 1.567862031310540775e-06
2.900000000000000000e+01 1.047861401211195587e-01 3.730958274613959026e-05 8.148037304646068568e-01 2.037960073094377383e-06 4.434583497218393816e-03 1.567862031310540775e-06
3.000000000000000000e+01 1.083495238672243510e-01 3.858812701737490014e-05 8.144284120119880122e-01 2.110573895135917474e-06 4.434583497218393816e-03 1.567862031310540775e-06
3.100000000000000000e+01 1.119101250032996930e-01 3.986633135131655031e-05 8.140570663803922136e-01 2.183186551873024721e-06 4.434583497218393816e-03 1.567862031310540775e-06
3.200000000000000000e+01 1.154704075205637559e-01 4.114507372140066099e-05 8.137066845806441018e-01 2.255846219260829942e-06 4.434583497218393816e-03 1.567862031310540775e-06
3.300000000000000000e+01 1.190284402793210100e-01 4.242366649738429121e-05 8.133621646698389052e-01 2.328515350307985218e-06 4.434583497218393816e-03 1.567862031310540775e-06
3.400000000000000000e+01 1.225892916398800964e-01 4.370391671979392514e-05 8.130566046246614498e-01 2.401293288865405509e-06 4.434583497218393816e-03 1.567862031310540775e-06
3.500000000000000000e+01 1.261481972605797142e-01 4.498412695084536586e-05 8.127559690117238667e-01 2.474087024530503192e-06 4.434583497218393816e-03 1.567862031310540775e-06
3.600000000000000000e+01 1.297055738371803435e-01 4.626444604104774135e-05 8.124624576013268484e-01 2.546904801528532116e-06 4.434583497218393816e-03 1.567862031310540775e-06
3.700000000000000000e+01 1.332673508391929995e-01 4.754698983451948613e-05 8.122116305196226405e-01 2.619863271958468141e-06 4.434583497218393816e-03 1.567862031310540775e-06
3.800000000000000000e+01 1.368318268427076989e-01 4.883115309536127218e-05 8.119900213291607605e-01 2.692929421045699523e-06 4.434583497218393816e-03 1.567862031310540775e-06
3.900000000000000000e+01 1.403945326117067571e-01 5.011534197154624492e-05 8.117695411112693105e-01 2.766015529111037730e-06 4.434583497218393816e-03 1.567862031310540775e-06
4.000000000000000000e+01 1.439561879704544800e-01 5.139981374982479430e-05 8.115541632080636170e-01 2.839135830365246336e-06 4.434583497218393816e-03 1.567862031310540775e-06
4.100000000000000000e+01 1.475176684578784758e-01 5.268488159209945809e-05 8.113483297503911729e-01 2.912307689699380167e-06 4.434583497218393816e-03 1.567862031310540775e-06
4.200000000000000000e+01 1.510789777729209526e-01 5.397054752943210553e-05 8.111513788519674195e-01 2.985531307768381918e-06 4.434583497218393816e-03 1.567862031310540775e-06
4.300000000000000000e+01 1.546415646810639088e-01 5.525732995415974822e-05 8.109702884058809236e-01 3.058835463675060529e-06 4.434583497218393816e-03 1.567862031310540775e-06
4.400000000000000000e+01 1.582049532078824983e-01 5.654505985503725573e-05 8.108015376452595291e-01 3.132210930721772338e-06 4.434583497218393816e-03 1.567862031310540775e-06
4.500000000000000000e+01 1.617676597624645995e-01 5.783320781792510013e-05 8.106368694749341852e-01 3.205628472802421212e-06 4.434583497218393816e-03 1.567862031310540775e-06
4.600000000000000000e+01 1.653284223627665139e-01 5.912132313495520027e-05 8.104698311747696726e-01 3.279063139809515621e-06 4.434583497218393816e-03 1.567862031310540775e-06
4.700000000000000000e+01 1.688895454171646104e-01 6.041023030233564587e-05 8.103116303025742484e-01 3.352560689056909930e-06 4.434583497218393816e-03 1.567862031310540775e-06
4.800000000000000000e+01 1.724492752642010351e-01 6.169930275509145727e-05 8.101534759519992690e-01 3.426086409514046765e-06 4.434583497218393816e-03 1.567862031310540775e-06
4.900000000000000000e+01 1.760093683744038684e-01 6.298916947176231001e-05 8.100034486353346885e-01 3.499675265908764799e-06 4.434583497218393816e-03 1.567862031310540775e-06
5.000000000000000000e+01 1.795713970823996641e-01 6.428039416157950252e-05 8.098681519697910058e-01 3.573358670652983373e-06 4.434583497218393816e-03 1.567862031310540775e-06
5.100000000000000000e+01 1.831342607564397096e-01 6.557258403695123553e-05 8.097418529207509597e-01 3.647114898988773990e-06 4.434583497218393816e-03 1.567862031310540775e-06
5.200000000000000000e+01 1.866991776767140121e-01 6.686617642471806230e-05 8.096293155213650783e-01 3.720968369659797968e-06 4.434583497218393816e-03 1.567862031310540775e-06
5.300000000000000000e+01 1.902641362387893498e-01 6.816045202357511675e-05 8.095212019906253831e-01 3.794879150283301013e-06 4.434583497218393816e-03 1.567862031310540775e-06
5.400000000000000000e+01 1.938286829110510423e-01 6.945524910344551761e-05 8.094153726409317740e-01 3.868838284011227933e-06 4.434583497218393816e-03 1.567862031310540775e-06
5.500000000000000000e+01 1.973920362049737531e-01 7.075028822055847517e-05 8.093084987730826407e-01 3.942830235386193087e-06 4.434583497218393816e-03 1.567862031310540775e-06
5.600000000000000000e+01 2.009572049100589730e-01 7.204664852481714886e-05 8.092127521112104649e-01 4.016915187123772435e-06 4.434583497218393816e-03 1.567862031310540775e-06
5.700000000000000000e+01 2.045249192020242579e-01 7.334459314387569838e-05 8.091304356946211751e-01 4.091107912659309694e-06 4.434583497218393816e-03 1.567862031310540775e-06
5.800000000000000000e+01 2.080954873600507904e-01 7.464423414192978830e-05 8.090620534253544216e-01 4.165414777517726540e-06 4.434583497218393816e-03 1.567862031310540775e-06
5.900000000000000000e+01 2.116628647581680345e-01 7.594340431406668406e-05 8.089837939892451368e-01 4.239714908225840703e-06 4.434583497218393816e-03 1.567862031310540775e-06
6.000000000000000000e+01 2.152319534791429234e-01 7.724386285054743288e-05 8.089145749318878975e-01 4.314106517191122550e-06 4.434583497218393816e-03 1.567862031310540775e-06
6.100000000000000000e+01 2.188010461316235444e-01 7.854499809214759846e-05 8.088476398855228844e-01 4.388555512362755607e-06 4.434583497218393816e-03 1.567862031310540775e-06
6.200000000000000000e+01 2.223693702625433588e-01 7.984653345942689510e-05 8.087800688429390705e-01 4.463046474278603648e-06 4.434583497218393816e-03 1.567862031310540775e-06
6.300000000000000000e+01 2.259365481840993062e-01 8.114833387367167321e-05 8.087105402052161551e-01 4.537571871137147026e-06 4.434583497218393816e-03 1.567862031310540775e-06
6.400000000000000000e+01 2.295033989707039868e-01 8.245069406230598529e-05 8.086420316962288357e-01 4.612148202424927213e-06 4.434583497218393816e-03 1.567862031310540775e-06
6.500000000000000000e+01 2.330707207982690432e-01 8.375390154769407928e-05 8.085772652934802851e-01 4.686791589490964485e-06 4.434583497218393816e-03 1.567862031310540775e-06
6.600000000000000000e+01 2.366396948813773993e-01 8.505838183024812206e-05 8.085201067234604189e-01 4.761525900854112870e-06 4.434583497218393816e-03 1.567862031310540775e-06
6.700000000000000000e+01 2.402114630492208081e-01 8.636454669051302430e-05 8.084740583645354528e-01 4.836374269914190507e-06 4.434583497218393816e-03 1.567862031310540775e-06
6.800000000000000000e+01 2.437804963266221869e-01 8.767040932458324020e-05 8.084202949768837243e-01 4.911225493906220779e-06 4.434583497218393816e-03 1.567862031310540775e-06
6.900000000000000000e+01 2.473495896094016766e-01 8.897697514872835052e-05 8.083682860531058445e-01 4.986135893642331418e-06 4.434583497218393816e-03 1.567862031310540775e-06
7.000000000000000000e+01 2.509172257563689334e-01 9.028369908640239015e-05 8.083130690329689561e-01 5.061074951218865693e-06 4.434583497218393816e-03 1.567862031310540775e-06
7.100000000000000000e+01 2.544840345920248437e-01 9.159080820670755473e-05 8.082567798307810358e-01 5.136055406634167703e-06 4.434583497218393816e-03 1.567862031310540775e-06
7.200000000000000000e+01 2.580496478504108460e-01 9.289817050076914693e-05 8.081983097306322250e-01 5.211069874931584360e-06 4.434583497218393816e-03 1.567862031310540775e-06
7.300000000000000000e+01 2.616156470241618459e-01 9.420635592057404525e-05 8.081426336611517991e-01 5.286150350605349873e-06 4.434583497218393816e-03 1.567862031310540775e-06
7.400000000000000000e+01 2.651801079775393810e-01 9.551467232495469554e-05 8.080837749288567462e-01 5.361258027491473208e-06 4.434583497218393816e-03 1.567862031310540775e-06
7.500000000000000000e+01 2.687467802281896523e-01 9.682447096659992731e-05 8.080331344060065479e-01 5.436468782339964301e-06 4.434583497218393816e-03 1.567862031310540775e-06
7.600000000000000000e+01 2.723133626854274958e-01 9.813492401436181654e-05 8.079835601016090996e-01 5.511736197519264240e-06 4.434583497218393816e-03 1.567862031310540775e-06
7.700000000000000000e+01 2.758759839517929136e-01 9.944463673122989433e-05 8.079236727945807717e-01 5.586981947961544906e-06 4.434583497218393816e-03 1.567862031310540775e-06
7.800000000000000000e+01 2.794405852996767470e-01 1.007557510095370636e-04 8.078710455341050478e-01 5.662326368608333896e-06 4.434583497218393816e-03 1.567862031310540775e-06
7.900000000000000000e+01 2.830025014524391591e-01 1.020665856532478977e-04 8.078120858959132455e-01 5.737675022365485775e-06 4.434583497218393816e-03 1.567862031310540775e-06
8.000000000000000000e+01 2.865627480253158943e-01 1.033775070987328200e-04 8.077498941136841415e-01 5.813048502610194113e-06 4.434583497218393816e-03 1.567862031310540775e-06
8.100000000000000000e+01 2.901228043606696172e-01 1.046890494973010875e-04 8.076887083183938998e-01 5.888476860783792570e-06 4.434583497218393816e-03 1.567862031310540775e-06
8.200000000000000000e+01 2.936835784602080945e-01 1.060015413386966647e-04 8.076309887138878318e-01 5.963978611505515625e-06 4.434583497218393816e-03 1.567862031310540775e-06
8.300000000000000000e+01 2.972438093603430032e-01 1.073145283898016219e-04 8.075731841403384070e-01 6.039528239109776312e-06 4.434583497218393816e-03 1.567862031310540775e-06
8.400000000000000000e+01 3.008056983607207413e-01 1.086288062581541164e-04 8.075212070820664279e-01 6.115170558140641824e-06 4.434583497218393816e-03 1.567862031310540775e-06
8.500000000000000000e+01 3.043654642572314328e-01 1.099430103798467633e-04 8.074648205357242148e-01 6.190828793651625653e-06 4.434583497218393816e-03 1.567862031310540775e-06
8.600000000000000000e+01 3.079237722096334062e-01 1.112573813034092255e-04 8.074059224339037444e-01 6.266516494784727706e-06 4.434583497218393816e-03 1.567862031310540775e-06
8.700000000000000000e+01 3.114809156032076753e-01 1.125720254662881280e-04 8.073453598242064100e-01 6.342239669911731689e-06 4.434583497218393816e-03 1.567862031310540775e-06
8.800000000000000000e+01 3.150392886993763630e-01 1.138878088916512270e-04 8.072893247548340590e-01 6.418047139818238280e-06 4.434583497218393816e-03 1.567862031310540775e-06
8.900000000000000000e+01 3.185996405073932558e-01 1.152050035888817475e-04 8.072395623854023983e-01 6.493954292203432536e-06 4.434583497218393816e-03 1.567862031310540775e-06
9.000000000000000000e+01 3.221617042361887284e-01 1.165235144452689861e-04 8.071951951651169521e-01 6.569955830379734886e-06 4.434583497218393816e-03 1.567862031310540775e-06
9.100000000000000000e+01 3.257230363203353907e-01 1.178424587200679131e-04 8.071499900144769590e-01 6.646002031308257143e-06 4.434583497218393816e-03 1.567862031310540775e-06
9.200000000000000000e+01 3.292835312560727368e-01 1.191617988512128746e-04 8.071037156580398442e-01 6.722090799219659952e-06 4.434583497218393816e-03 1.567862031310540775e-06
9.300000000000000000e+01 3.328428580401636694e-01 1.204814156121465055e-04 8.070556039913037161e-01 6.798215428410572157e-06 4.434583497218393816e-03 1.567862031310540775e-06
9.400000000000000000e+01 3.364035385547737844e-01 1.218022226009929739e-04 8.070117634947744367e-01 6.874427498587317609e-06 4.434583497218393816e-03 1.567862031310540775e-06
9.500000000000000000e+01 3.399645571377234443e-01 1.231238531939329232e-04 8.069696484246872137e-01 6.950706367438420142e-06 4.434583497218393816e-03 1.567862031310540775e-06
