# n msd err_msd cf err_cf var err_var
3.400000000000000000e+01 2.066254848342287289e+02 4.780743570986745183e+00 9.954651890792488578e-01 7.730393373161117791e-04 6.104904730826696380e+00 1.365098197428854798e-01
3.500000000000000000e+01 2.120849136265917991e+02 4.912321952784708401e+00 9.925738775516007584e-01 7.954218619109121487e-04 6.104904730826696380e+00 1.365098197428854798e-01
3.600000000000000000e+01 2.174450827377932001e+02 5.041887127865131824e+00 9.893915553933625429e-01 8.174996263895946674e-04 6.104904730826696380e+00 1.365098197428854798e-01
3.700000000000000000e+01 2.229889536488979331e+02 5.176001144697380596e+00 9.871945169865298242e-01 8.403369898236159874e-04 6.104904730826696380e+00 1.365098197428854798e-01
3.800000000000000000e+01 2.287193050751505439e+02 5.314743771573911424e+00 9.859169546958614916e-01 8.639499983831223006e-04 6.104904730826696380e+00 1.365098197428854798e-01
3.900000000000000000e+01 2.345261450906108394e+02 5.455571873310856468e+00 9.850261658292798206e-01 8.879276892347688112e-04 6.104904730826696380e+00 1.365098197428854798e-01
4.000000000000000000e+01 2.404015766518184591e+02 5.598308838646133268e+00 9.844608034500172966e-01 9.122425965361659079e-04 6.104904730826696380e+00 1.365098197428854798e-01
4.100000000000000000e+01 2.463379995859893086e+02 5.742784226655886393e+00 9.841666917425582195e-01 9.368680647230491747e-04 6.104904730826696380e+00 1.365098197428854798e-01
4.200000000000000000e+01 2.520991635488614975e+02 5.883490631959846340e+00 9.832030640165033697e-01 9.609056166906481625e-04 6.104904730826696380e+00 1.365098197428854798e-01
4.300000000000000000e+01 2.576970058855529828e+02 6.020695151763518993e+00 9.816621044033690957e-01 9.843969176473140511e-04 6.104904730826696380e+00 1.365098197428854798e-01
4.400000000000000000e+01 2.632794175518901056e+02 6.157845847773044667e+00 9.801337432777673664e-01 1.007904569747656394e-03 6.104904730826696380e+00 1.365098197428854798e-01
4.500000000000000000e+01 2.689615531453403037e+02 6.297639363422536718e+00 9.790363104356616386e-01 1.031870508686028032e-03 6.104904730826696380e+00 1.365098197428854798e-01
4.600000000000000000e+01 2.747760321047476282e+02 6.440849536964693201e+00 9.784578573543496471e-01 1.056423113184121708e-03 6.104904730826696380e+00 1.365098197428854798e-01
4.700000000000000000e+01 2.806841181877528015e+02 6.586579191210755191e+00 9.782302554988993037e-01 1.081416866866102312e-03 6.104904730826696380e+00 1.365098197428854798e-01
4.800000000000000000e+01 2.866016847298336643e+02 6.732860903337971159e+00 9.780444896579063574e-01 1.106529716733147851e-03 6.104904730826696380e+00 1.365098197428854798e-01
4.900000000000000000e+01 2.927258695312897885e+02 6.884333354595463028e+00 9.785570128895838549e-01 1.132525066406237175e-03 6.104904730826696380e+00 1.365098197428854798e-01
5.000000000000000000e+01 2.987382328693639693e+02 7.033516993365350523e+00 9.786827019949589923e-01 1.158173787183341269e-03 6.104904730826696380e+00 1.365098197428854798e-01
5.100000000000000000e+01 3.047069598145639020e+02 7.182011918653832261e+00 9.786633099620450915e-01 1.183738550820341963e-03 6.104904730826696380e+00 1.365098197428854798e-01
5.200000000000000000e+01 3.108127957349726103e+02 7.334081362998449372e+00 9.790765642202042818e-01 1.209922388801090275e-03 6.104904730826696380e+00 1.365098197428854798e-01
5.300000000000000000e+01 3.170165921014247488e+02 7.488813073049758628e+00 9.797769822329672751e-01 1.236576321640720216e-03 6.104904730826696380e+00 1.365098197428854798e-01
5.400000000000000000e+01 3.230563511834033079e+02 7.640020542680547422e+00 9.799538708124527764e-01 1.262679104821505050e-03 6.104904730826696380e+00 1.365098197428854798e-01
5.500000000000000000e+01 3.292239732288047662e+02 7.794603476560983069e+00 9.805051325561512376e-01 1.289370539762631261e-03 6.104904730826696380e+00 1.365098197428854798e-01
5.600000000000000000e+01 3.351863810296255224e+02 7.944679161670085143e+00 9.804364447476346944e-01 1.315347045745983955e-03 6.104904730826696380e+00 1.365098197428854798e-01
5.700000000000000000e+01 3.410573891425898978e+02 8.092933697879018951e+00 9.801075088363592203e-01 1.341051817566588219e-03 6.104904730826696380e+00 1.365098197428854798e-01
5.800000000000000000e+01 3.469277193579844720e+02 8.241516688356211873e+00 9.797880010346833313e-01 1.366840643206850220e-03 6.104904730826696380e+00 1.365098197428854798e-01
5.900000000000000000e+01 3.526756453197124301e+02 8.387534882411081583e+00 9.791394909604346219e-01 1.392233480629352605e-03 6.104904730826696380e+00 1.365098197428854798e-01
6.000000000000000000e+01 3.582131887570802178e+02 8.528885446597147535e+00 9.779382440599602155e-01 1.416879991041021395e-03 6.104904730826696380e+00 1.365098197428854798e-01
6.100000000000000000e+01 3.637071763421363357e+02 8.669529652059413394e+00 9.766594221877180626e-01 1.441436948481105871e-03 6.104904730826696380e+00 1.365098197428854798e-01
6.200000000000000000e+01 3.692666621376291687e+02 8.812068104935892876e+00 9.755948975536447021e-01 1.466336906527513587e-03 6.104904730826696380e+00 1.365098197428854798e-01
6.300000000000000000e+01 3.749731930090297851e+02 8.958456104353182070e+00 9.749464908982764522e-01 1.491906362541745197e-03 6.104904730826696380e+00 1.365098197428854798e-01
6.400000000000000000e+01 3.806438683906005167e+02 9.104332792516336426e+00 9.742265777827696649e-01 1.517420135065600858e-03 6.104904730826696380e+00 1.365098197428854798e-01
6.500000000000000000e+01 3.863799642127609104e+02 9.252122145144754839e+00 9.736936780878863162e-01 1.543282430992884381e-03 6.104904730826696380e+00 1.365098197428854798e-01
6.600000000000000000e+01 3.920340294280222224e+02 9.398296502208888015e+00 9.729733384363333792e-01 1.568905204811519519e-03 6.104904730826696380e+00 1.365098197428854798e-01
6.700000000000000000e+01 3.977645233737394506e+02 9.546654058787671815e+00 9.724613556987324881e-01 1.594922454601804688e-03 6.104904730826696380e+00 1.365098197428854798e-01
6.800000000000000000e+01 4.034250286119221869e+02 9.693684812135511919e+00 9.717958380319352552e-01 1.620748262813900180e-03 6.104904730826696380e+00 1.365098197428854798e-01
6.900000000000000000e+01 4.090467323772238046e+02 9.840135043713624796e+00 9.710574978801707058e-01 1.646507071779183037e-03 6.104904730826696380e+00 1.365098197428854798e-01
7.000000000000000000e+01 4.145243783405931026e+02 9.983468360728187108e+00 9.700031523072016881e-01 1.671774017833430699e-03 6.104904730826696380e+00 1.365098197428854798e-01
7.100000000000000000e+01 4.197930942744851563e+02 1.012211032552887957e+01 9.684964881995349328e-01 1.696284150734021128e-03 6.104904730826696380e+00 1.365098197428854798e-01
7.200000000000000000e+01 4.250371442049980715e+02 1.026049334824512549e+01 9.669755597831363181e-01 1.720779137492913077e-03 6.104904730826696380e+00 1.365098197428854798e-01
7.300000000000000000e+01 4.301693440763885405e+02 1.039651003468709689e+01 9.652453233245591457e-01 1.744905294288493468e-03 6.104904730826696380e+00 1.365098197428854798e-01
7.400000000000000000e+01 4.356069262974736489e+02 1.054024833835297237e+01 9.642378291960442827e-01 1.770356226645733487e-03 6.104904730826696380e+00 1.365098197428854798e-01
7.500000000000000000e+01 4.408973416604127351e+02 1.068077300120629758e+01 9.629357838222614152e-01 1.795296878894199867e-03 6.104904730826696380e+00 1.365098197428854798e-01
7.600000000000000000e+01 4.460572690202857302e+02 1.081847785438347209e+01 9.613867621448378697e-01 1.819792397602676892e-03 6.104904730826696380e+00 1.365098197428854798e-01
7.700000000000000000e+01 4.512147130562556185e+02 1.095646179197826875e+01 9.598726920017647268e-01 1.844363494486423284e-03 6.104904730826696380e+00 1.365098197428854798e-01
7.800000000000000000e+01 4.562404524864925861e+02 1.109158495382296650e+01 9.581208599053065988e-01 1.868481446585646679e-03 6.104904730826696380e+00 1.365098197428854798e-01
7.900000000000000000e+01 4.613216389804037476e+02 1.122839301022901992e+01 9.565283448219684681e-01 1.892911629324346267e-03 6.104904730826696380e+00 1.365098197428854798e-01
