# AtomId eventId barrier
3.600000000000000000e+01 9.337000000000000000e+04 9.698539999999999939e-01
1.182000000000000000e+03 8.015370000000000000e+05 9.502559999999999896e-01
3.600000000000000000e+01 3.349310000000000000e+05 1.015149000000000079e+00
2.010000000000000000e+02 1.112477000000000000e+06 5.330310000000000326e-01
7.200000000000000000e+02 1.033683000000000000e+06 8.831849999999999978e-01
7.930000000000000000e+02 1.163392000000000000e+06 7.892409999999999703e-01
1.890000000000000000e+02 3.366380000000000000e+05 1.335380999999999929e+00
3.470000000000000000e+02 5.221590000000000000e+05 1.006480000000000041e+00
7.930000000000000000e+02 9.261040000000000000e+05 1.121294000000000013e+00
3.600000000000000000e+01 3.349310000000000000e+05 1.015150999999999915e+00
2.010000000000000000e+02 1.112477000000000000e+06 5.330409999999999870e-01
7.200000000000000000e+02 1.033683000000000000e+06 8.831849999999999978e-01
7.930000000000000000e+02 1.163392000000000000e+06 7.892400000000000526e-01
1.940000000000000000e+02 4.285520000000000000e+05 7.963869999999999560e-01
2.010000000000000000e+02 1.264078000000000000e+06 9.472969999999999446e-01
5.130000000000000000e+02 4.497450000000000000e+05 7.629179999999999851e-01
7.200000000000000000e+02 1.052167000000000000e+06 9.767379999999999951e-01
1.940000000000000000e+02 4.285520000000000000e+05 7.964059999999999473e-01
2.010000000000000000e+02 1.112477000000000000e+06 9.469039999999999679e-01
5.130000000000000000e+02 4.497450000000000000e+05 7.629500000000000171e-01
7.200000000000000000e+02 1.052167000000000000e+06 9.767080000000000206e-01
1.940000000000000000e+02 8.407610000000000000e+05 1.035273000000000110e+00
2.010000000000000000e+02 1.031197000000000000e+06 1.011638999999999955e+00
5.130000000000000000e+02 4.057870000000000000e+05 1.074824000000000002e+00
8.950000000000000000e+02 2.761740000000000000e+05 8.252260000000000151e-01
1.340000000000000000e+03 9.535700000000000000e+05 7.284709999999999797e-01
1.940000000000000000e+02 1.053736000000000000e+06 1.036942999999999948e+00
2.010000000000000000e+02 1.031197000000000000e+06 1.011636999999999897e+00
5.130000000000000000e+02 4.057870000000000000e+05 1.074820000000000109e+00
8.950000000000000000e+02 2.761740000000000000e+05 8.252199999999999536e-01
1.340000000000000000e+03 9.535700000000000000e+05 7.284720000000000084e-01
1.940000000000000000e+02 1.053736000000000000e+06 1.035762999999999989e+00
2.010000000000000000e+02 1.031197000000000000e+06 1.011641000000000012e+00
5.130000000000000000e+02 4.057870000000000000e+05 1.074824999999999919e+00
8.950000000000000000e+02 2.761740000000000000e+05 8.252239999999999576e-01
2.010000000000000000e+02 1.151124000000000000e+06 5.263949999999999463e-01
8.950000000000000000e+02 1.270881000000000000e+06 4.230169999999999764e-01
9.820000000000000000e+02 8.280740000000000000e+05 8.484990000000000032e-01
1.240000000000000000e+02 1.877900000000000000e+05 8.189300000000000468e-01
2.010000000000000000e+02 1.151124000000000000e+06 6.325190000000000534e-01
8.950000000000000000e+02 1.270881000000000000e+06 4.973099999999999743e-01
9.820000000000000000e+02 1.031476000000000000e+06 9.210730000000000306e-01
2.010000000000000000e+02 1.151124000000000000e+06 5.263949999999999463e-01
8.950000000000000000e+02 1.270881000000000000e+06 4.218219999999999748e-01
9.820000000000000000e+02 8.280740000000000000e+05 8.484969999999999457e-01
1.940000000000000000e+02 1.053736000000000000e+06 1.036629999999999940e+00
2.010000000000000000e+02 1.031197000000000000e+06 1.011646000000000045e+00
5.130000000000000000e+02 4.057870000000000000e+05 1.074975000000000014e+00
8.950000000000000000e+02 2.761740000000000000e+05 8.245850000000000124e-01
1.340000000000000000e+03 9.535700000000000000e+05 7.284699999999999509e-01
1.940000000000000000e+02 1.053736000000000000e+06 1.036605999999999916e+00
2.010000000000000000e+02 1.031197000000000000e+06 1.011657000000000028e+00
5.130000000000000000e+02 4.057870000000000000e+05 1.074977000000000071e+00
8.950000000000000000e+02 2.761740000000000000e+05 8.245820000000000372e-01
1.940000000000000000e+02 9.915700000000000000e+05 6.239989999999999704e-01
5.130000000000000000e+02 7.967540000000000000e+05 5.274889999999999857e-01
6.330000000000000000e+02 5.200600000000000000e+05 4.112939999999999929e-01
6.330000000000000000e+02 4.217580000000000000e+05 3.597827000000000108e+00
1.355000000000000000e+03 1.225047000000000000e+06 4.438420000000000143e-01
1.355000000000000000e+03 9.631570000000000000e+05 6.471930000000000183e-01
1.940000000000000000e+02 1.270881000000000000e+06 9.304339999999999833e-01
5.130000000000000000e+02 9.291710000000000000e+05 7.071920000000000428e-01
5.130000000000000000e+02 2.940090000000000000e+05 9.091759999999999842e-01
7.200000000000000000e+02 7.626970000000000000e+05 6.340900000000000425e-01
8.950000000000000000e+02 9.915700000000000000e+05 8.464329999999999909e-01
1.181000000000000000e+03 1.145390000000000000e+06 9.882490000000000441e-01
1.181000000000000000e+03 9.949250000000000000e+05 1.065358000000000027e+00
1.940000000000000000e+02 7.448190000000000000e+05 1.195395999999999903e+00
1.940000000000000000e+02 4.146680000000000000e+05 1.372891000000000084e+00
5.130000000000000000e+02 5.624640000000000000e+05 3.546412000000000120e+00
7.200000000000000000e+02 8.259550000000000000e+05 1.342076999999999964e+00
1.181000000000000000e+03 1.445980000000000000e+05 1.540057999999999927e+00
5.130000000000000000e+02 5.624640000000000000e+05 3.562257999999999925e+00
1.181000000000000000e+03 1.445980000000000000e+05 1.536324999999999941e+00
1.940000000000000000e+02 1.270881000000000000e+06 9.302749999999999631e-01
5.130000000000000000e+02 2.174290000000000000e+05 7.063960000000000239e-01
5.130000000000000000e+02 2.940090000000000000e+05 9.102550000000000363e-01
7.200000000000000000e+02 7.626970000000000000e+05 6.341860000000000275e-01
8.950000000000000000e+02 9.915700000000000000e+05 8.463230000000000475e-01
1.181000000000000000e+03 1.145390000000000000e+06 9.883220000000000338e-01
1.181000000000000000e+03 9.949250000000000000e+05 1.065946999999999978e+00
7.200000000000000000e+02 2.704000000000000000e+05 1.090171999999999919e+00
8.950000000000000000e+02 3.406370000000000000e+05 6.691559999999999730e-01
1.036000000000000000e+03 3.808320000000000000e+05 6.426089999999999858e-01
1.181000000000000000e+03 1.270881000000000000e+06 9.932809999999999695e-01
3.800000000000000000e+02 1.143384000000000000e+06 3.338619999999999921e-01
7.200000000000000000e+02 1.086898000000000000e+06 1.077607999999999899e+00
1.036000000000000000e+03 1.161326000000000000e+06 7.287040000000000184e-01
1.036000000000000000e+03 9.806170000000000000e+05 7.008729999999999682e-01
1.158000000000000000e+03 3.630640000000000000e+05 9.952069999999999528e-01
3.800000000000000000e+02 9.471100000000000000e+05 3.909549999999999970e-01
8.230000000000000000e+02 9.915700000000000000e+05 1.286642999999999981e+00
1.036000000000000000e+03 4.180940000000000000e+05 9.421610000000000262e-01
8.230000000000000000e+02 3.406370000000000000e+05 6.857140000000000457e-01
