step time ezz temp pe pxx pyy szz vol
0 0 0 1733 -5937.98822863936 20970.4630437285 22102.7860320092 -2.07421408828587 15421.1110826075
10 0.05 0 1510.09185083334 -5898.47810767693 32383.727244855 33668.2211570418 -3.27696606088931 15421.2121224226
20 0.1 0 953.38400296207 -5799.75960276393 63487.3061501988 64074.6865043335 -6.45283806008425 15421.6137404283
30 0.15 0 494.169495826198 -5718.32801008581 88543.8782460916 88578.3048398152 -9.0546859679591 15422.564557581
40 0.2 0 481.961399410749 -5716.2142544921 86738.2251612405 86681.2641843787 -8.92336906165828 15424.2646465443
50 0.25 0 689.74338790084 -5753.03363232014 71594.2345598254 71240.3246859762 -7.3826271797234 15426.707469335
60 0.3 0 811.981861042208 -5774.56749669053 64272.1176958271 63069.6576639048 -6.59362313022832 15429.7738497956
70 0.35 0 797.71452643248 -5771.848150098 66869.7115968109 64729.9421657712 -6.83523846769748 15433.3954063332
80 0.4 0 754.883181196026 -5764.07707073147 70730.3622826344 68265.8731447721 -7.20421289547848 15437.5831222377
90 0.45 0 788.25565862889 -5769.81647579715 69261.2629139085 67214.5343332416 -6.97888546993089 15442.3622299773
100 0.5 0 885.711849555407 -5786.85789249344 63239.0948928206 62218.1774450192 -6.27667190158107 15447.7178375861
110 0.55 0 973.279560575465 -5802.06280952476 57113.6388171912 57750.5910803104 -5.61028472650831 15453.5993197117
120 0.6 0 990.136875699745 -5804.6884935363 55019.1110567035 57000.5035025792 -5.36892211717015 15459.9576213227
130 0.65 0 923.696611558255 -5792.56897413828 57960.5558161607 60104.7366763675 -5.63312535965286 15466.77631322
140 0.7 0 841.104957216152 -5777.66537756465 61820.1818588789 63542.566480684 -6.06025002943716 15474.0761771396
150 0.75 0 828.920081105948 -5775.30468086889 61268.4082220779 62696.9961820638 -6.11959154692336 15481.8850148447
160 0.8 0 883.708446408782 -5784.80773728896 56631.1753066631 58022.0440051442 -5.71996289057816 15490.1983700555
170 0.85 0 937.76188648331 -5794.13716052843 52236.0490494575 53616.483426647 -5.18979706339572 15498.9782165912
180 0.9 0 944.444933014213 -5795.05281569243 50610.1259107784 51932.7864891897 -4.84762949215804 15508.1830519972
190 0.95 0 908.56004783156 -5788.4522058482 51103.3680095527 52491.9611855136 -4.76843805544865 15517.790598745
200 1 0 868.893533499298 -5781.23627294204 52087.8447457476 53447.7756504191 -4.82285778207186 15527.7978132159
210 1.05 0 852.989476367655 -5778.27015797062 52351.572482715 53186.7896551955 -4.86379448371156 15538.208109417
220 1.1 0 870.943488555635 -5781.32188620181 50957.2829312721 51068.6454651007 -4.71020523656767 15549.0187169481
230 1.15 0 909.497185686902 -5788.0124810498 48172.2243029683 47640.92818041 -4.3506085435007 15560.2115656815
240 1.2 0 928.341711407285 -5791.18684652374 45799.5869270715 45169.0895784518 -4.05918268661621 15571.7560560541
250 1.25 0 909.157204315026 -5787.62047870255 44686.0963654446 44788.0471298094 -4.02149451834495 15583.6265882098
260 1.3 0 878.091772513196 -5781.97449020208 43921.4541386913 44697.530390577 -4.09478325370655 15595.8125451938
270 1.35 0 862.824475191523 -5779.14560715882 42540.4533437663 42901.7245350081 -4.03674084792578 15608.3079520675
280 1.4 0 873.758668970851 -5780.95200718008 39966.1075953945 39290.5502688561 -3.77701718175563 15621.096829678
290 1.45 0 898.351712054667 -5785.14988454953 36727.7643793512 35603.1459333125 -3.45540405726806 15634.1493588512
300 1.5 0 900.831901156388 -5785.39427926589 35214.4107025304 33811.3257785009 -3.19546569106118 15647.4321119968
310 1.55 0 884.650412297083 -5782.32496441156 35211.5353809644 33128.437671355 -3.02421144922434 15660.9223298315
320 1.6 0 875.678286570213 -5780.53833007951 34468.2937103481 31496.8982818131 -2.91325194426063 15674.6065183328
330 1.65 0 873.400705864728 -5779.92666370422 32768.4657911568 29098.1299181646 -2.82875789901007 15688.4689881034
340 1.7 0 874.993933959258 -5779.98288555639 30779.2147168413 27675.4999463213 -2.77001010846606 15702.4903193304
350 1.75 0 880.271678667316 -5780.67446687792 28052.0560479018 26932.4041025987 -2.69337918206758 15716.6527433316
360 1.8 0 894.642986344641 -5782.9553040543 24266.6498217162 25547.2842186902 -2.48796008969736 15730.9373305902
370 1.85 0 915.23051730443 -5786.29978258658 20444.4564214715 23546.7901508365 -2.13557420362342 15745.3170587943
380 1.9 0 920.466672593142 -5786.88882236131 17980.8589838607 22232.8879014078 -1.83723310133172 15759.759712182
390 1.95 0 902.288078171089 -5783.31403612543 16804.8443883309 21599.6737994999 -1.70559400261637 15774.2398920857
400 2 0 871.389249789033 -5777.48960338281 16329.2378600425 21326.1843759174 -1.67912886048823 15788.7426831922
410 2.05 0 854.964563078085 -5774.23835456962 15614.6974813242 20032.1048203574 -1.60532763234964 15803.2590829648
420 2.1 0 863.797336211533 -5775.44665313367 13098.1204267815 16238.2306717878 -1.38047205163178 15817.7746564144
430 2.15 0 877.54899013037 -5777.48459260136 9770.1418004734 12375.4423776489 -1.09539682124008 15832.2599262439
440 2.2 0 875.65456433298 -5776.71349025458 7913.99175294353 10750.1870214398 -0.879889995267739 15846.681633566
450 2.25 0 870.330014873202 -5775.32447243367 7232.72837483131 10152.342732149 -0.720996633145668 15861.0181768309
460 2.3 0 876.394520300521 -5775.94410741924 6113.81904125023 8747.91819750203 -0.539176088999939 15875.2559801752
470 2.35 0 886.235572080526 -5777.2119216912 4916.51862803425 6999.66468284969 -0.361491809508842 15889.3788876898
480 2.4 0 895.041801355115 -5778.27514893411 3855.73254763079 5687.99553011331 -0.179919364993193 15903.3697824872
490 2.45 0 902.967880618045 -5779.16957591303 2151.56558963005 4388.98616428384 0.0406704757650099 15917.2127693648
