# atom_type event_id atom_id barrier
1.000000000000000000e+00 6.974140000000000000e+05 7.710000000000000000e+02 9.868871900000000252e-01
1.000000000000000000e+00 6.974080000000000000e+05 2.560000000000000000e+02 9.888985300000000533e-01
1.000000000000000000e+00 6.974110000000000000e+05 9.040000000000000000e+02 9.902113799999999744e-01
1.000000000000000000e+00 6.974090000000000000e+05 7.830000000000000000e+02 9.894386699999999646e-01
1.000000000000000000e+00 6.974060000000000000e+05 7.170000000000000000e+02 9.874881399999999587e-01
1.000000000000000000e+00 6.974120000000000000e+05 1.700000000000000000e+01 9.881532100000000041e-01
1.000000000000000000e+00 6.974130000000000000e+05 1.080000000000000000e+03 9.891516399999999987e-01
1.000000000000000000e+00 6.974100000000000000e+05 1.306000000000000000e+03 9.869050600000000006e-01
1.000000000000000000e+00 7.582310000000000000e+05 2.030000000000000000e+02 9.866924900000000331e-01
1.000000000000000000e+00 6.974150000000000000e+05 1.214000000000000000e+03 9.891632000000000202e-01
1.000000000000000000e+00 6.974070000000000000e+05 1.099000000000000000e+03 9.886231500000000061e-01
