step time ezz temp pe pxx pyy szz vol
590 2.95 0 510.520018017471 -5829.26925286782 -20974.0164050409 -22100.4151989586 2.19707838695981 15912.0722916446
600 3 0 512.717011832462 -5829.28905419911 -21292.2710627724 -22213.5404064091 2.28345399244986 15916.8534100755
610 3.05 0 516.304380247831 -5829.5546196595 -22019.2555418615 -22631.9269676185 2.38153649660465 15921.2283078191
620 3.1 0 517.115078204914 -5829.33019883745 -22577.1629769814 -23414.9506885653 2.44394352545947 15925.1903774767
630 3.15 0 518.196552833561 -5829.15826774101 -23311.3983509588 -24307.1443001389 2.48640893959648 15928.7334382251
640 3.2 0 524.35208134916 -5829.88906238763 -24708.6117542495 -25087.9098066448 2.55433663853288 15931.8507093128
650 3.25 0 533.17363056664 -5831.09333795893 -26259.0392904986 -25776.5502199975 2.63207973805005 15934.5318781798
660 3.3 0 536.849669067933 -5831.38715471601 -26972.7225070903 -26332.5646526603 2.65606296442343 15936.7664280308
670 3.35 0 533.311734951668 -5830.41076115014 -26908.5871598632 -26508.5616024738 2.62380634115044 15938.551286247
680 3.4 0 525.977140161323 -5828.77255595699 -26767.5771423149 -26309.5847028603 2.58696251905453 15939.8919624701
690 3.45 0 521.070679625253 -5827.57618125856 -26555.0128535215 -26045.7201124804 2.5762692330193 15940.7968395179
700 3.5 0 522.381029486486 -5827.49024766977 -26111.6969195314 -25671.2078341261 2.59049553771043 15941.2739916222
710 3.55 0 528.588045766053 -5828.276062476 -25666.6261890859 -24992.8793688345 2.61634220316615 15941.3318014535
720 3.6 0 533.144255369232 -5828.7723595344 -25333.6872553683 -24223.2318665439 2.59706661971301 15940.9796551535
730 3.65 0 532.299861806388 -5828.31654400221 -25043.6368533217 -23629.5670434767 2.51619482107733 15940.2290227439
740 3.7 0 529.181972088316 -5827.46427045046 -24754.0229026436 -23127.3861704905 2.428651454508 15939.0931872264
750 3.75 0 527.330367498968 -5826.84400028186 -24451.2212976148 -22799.9555497335 2.38696375062647 15937.5850636498
760 3.8 0 530.66138493272 -5827.14664802585 -24152.0175568241 -23081.8155575578 2.40964287573406 15935.7141166588
770 3.85 0 538.941758760145 -5828.3301118811 -24002.1810502758 -23817.050699724 2.48282995227878 15933.4832970604
780 3.9 0 544.372205631948 -5829.00984013933 -24039.6597216898 -24195.3804351479 2.51776320995559 15930.8904672541
790 3.95 0 543.438451555691 -5828.56683639714 -24026.3022696348 -24110.6585911902 2.46048086717606 15927.9360343266
800 4 0 538.087054785305 -5827.34690821035 -23454.0542361107 -23925.4371765551 2.34056042766503 15924.6276031192
810 4.05 0 529.940436926472 -5825.63931288712 -22383.0996222017 -23461.6660262833 2.21350523674586 15920.9794483935
820 4.1 0 524.631682625298 -5824.43973938776 -21432.9138632721 -22710.4034798599 2.13276418478037 15917.0098328772
830 4.15 0 528.376017161705 -5824.84916426522 -20671.8039540453 -22105.2740573579 2.07861212834038 15912.7357040594
840 4.2 0 538.8921986537 -5826.45623611433 -19920.3418373963 -21615.2442060653 2.01310476109755 15908.1710931088
850 4.25 0 549.042019068885 -5827.99245844148 -18998.7205685638 -20815.0506410404 1.94850647563359 15903.3297267031
860 4.3 0 554.18573266406 -5828.63887260554 -17904.0248127928 -19552.804827066 1.89242193063233 15898.2275230051
870 4.35 0 551.94953684522 -5827.97812987233 -17012.8344316232 -18027.312327014 1.81748952867066 15892.8830204099
880 4.4 0 545.493712641685 -5826.57071714538 -16323.7919250145 -16615.2830424205 1.7034232438447 15887.3159505027
890 4.45 0 541.952039700619 -5825.68106813629 -15484.2723768119 -15470.5019423314 1.58857445303713 15881.5461936838
900 4.5 0 543.966926203901 -5825.77618101427 -14601.5607249867 -14785.7476398763 1.52392924036913 15875.5924918437
910 4.55 0 548.710911644206 -5826.35280703832 -13957.6759225023 -14558.6554059714 1.48937922052075 15869.4689622059
920 4.6 0 555.150498654379 -5827.2269134364 -13641.960019274 -14459.984632703 1.4587355420609 15863.1845777182
930 4.65 0 563.18388306418 -5828.38073557205 -13490.0040260868 -14186.2588177081 1.43941077198345 15856.7454645082
940 4.7 0 567.891248716097 -5828.94361697852 -13321.1702056171 -13514.1465460465 1.39212076299955 15850.1574249483
950 4.75 0 565.819697704976 -5828.30212938519 -13047.0141556935 -12457.7222138275 1.25784596316857 15843.4298782086
960 4.8 0 562.67451039078 -5827.46978196297 -12733.9321606231 -11207.7655700786 1.0774533870715 15836.5786140777
970 4.85 0 564.797862896347 -5827.57038384178 -12251.565124161 -9991.12455685572 0.950787337880242 15829.6226956069
980 4.9 0 568.05223703053 -5827.86609008281 -11085.7855142734 -8895.52435197478 0.857871066265565 15822.579699986
990 4.95 0 565.624179096565 -5827.14843597472 -9357.931092897 -7542.25136939156 0.737746892206549 15815.4682881062
1000 5 0 563.651873944303 -5826.50783176946 -7589.70720004486 -5935.66226855781 0.626243898729143 15808.3117587923
1010 5.05 0 569.273965830329 -5827.20814095575 -6126.28435829397 -4632.97355565844 0.570691082207264 15801.1339667808
1020 5.1 0 575.912112351227 -5828.08051844306 -4849.46637885636 -3820.69864792029 0.52054865825838 15793.9531677777
1030 5.15 0 576.67470964092 -5827.90584940966 -3676.93648595882 -3234.99518789937 0.409185824176926 15786.7838559023
1040 5.2 0 574.60634024758 -5827.2270679818 -2883.7284207306 -2703.11945500775 0.262246916346313 15779.6410684702
1050 5.25 0 575.014878117987 -5826.98433550505 -2296.42735510305 -1970.98102165493 0.150391762495617 15772.5393179519
1060 5.3 0 578.928115002277 -5827.3585298274 -1564.55918252867 -1147.99409432721 0.122312106718009 15765.490989303
1070 5.35 0 584.614817739255 -5828.04322682838 -529.994357745753 -629.621327136553 0.135965026007432 15758.5053502987
1080 5.4 0 584.323465237928 -5827.66392040829 726.594820878591 -103.696519294235 0.0922419172118619 15751.5898188503
1090 5.45 0 578.057190676713 -5826.22426605773 2057.42052508767 996.640840647555 -0.0342595369018343 15744.755702869
1100 5.5 0 575.934735700559 -5825.51787438931 3187.97706108664 2104.73242887177 -0.145937487704787 15738.0205690754
1110 5.55 0 579.32800682847 -5825.78429364755 3935.57657450109 2702.77024357639 -0.21400311410645 15731.4002886127
1120 5.6 0 580.544465958538 -5825.6611168953 4497.16820764335 3462.71222092256 -0.303087803605075 15724.9047930157
1130 5.65 0 576.491088678826 -5824.60080322904 5019.65327109452 4918.8704760126 -0.426883297597247 15718.5445227371
1140 5.7 0 574.626020438684 -5823.92702746344 5369.33727865027 6565.53158558346 -0.541511002863903 15712.3340253213
1150 5.75 0 579.98525792023 -5824.53089142107 5537.11977738304 7816.75819525121 -0.620141070045872 15706.2873602791
1160 5.8 0 586.149184225805 -5825.27208731169 5701.22876247082 8487.10683267066 -0.680139120780718 15700.4139911693
1170 5.85 0 589.651364042042 -5825.53713713191 6157.91070850799 8711.99139943412 -0.747770937603512 15694.7194679585
1180 5.9 0 592.780952559924 -5825.7348929549 7107.53285536424 8685.53612640313 -0.837021859398593 15689.2087276481
