# bin_edges hist err
5.907837911587943396e-08 1.274972329834875637e+02 2.549944659669751346e+01
1.068000432514575467e-07 1.072016550593331061e+02 1.739040483129481629e+01
1.930697728883249708e-07 2.808972850950761995e+02 2.093684747225762877e+01
3.490254878959579243e-07 5.593803229519770639e+02 2.197453442342577290e+01
6.309573444801929638e-07 1.140311869154278156e+03 2.333492898588795228e+01
1.140624923851320228e-06 1.694241910833137808e+03 2.115489835520390471e+01
2.061986009502219260e-06 5.979147030361883708e+02 9.346982305936032631e+00
3.727593720314938057e-06 1.374961682754572621e+03 1.054206460038255067e+01
6.738627168030940877e-06 1.098736995070124522e+03 7.008996138629004058e+00
1.218187912010114744e-05 1.010932543082603843e+03 5.000329310150394946e+00
2.202201949987373474e-05 8.943564932743167901e+02 3.498013022522293625e+00
3.981071705534969458e-05 8.470492550713770470e+02 2.531914253108326740e+00
7.196856730011514085e-05 7.559105670895987714e+02 1.778928286569949169e+00
1.301025216910830151e-04 5.862945398738678477e+02 1.165224825502840789e+00
2.351952635070956471e-04 4.183576125533382424e+02 7.320727028699972605e-01
4.251786303382885782e-04 3.650203117759506881e+02 5.085895854338672306e-01
7.686246100397730154e-04 5.633473156672214373e+02 4.699218435203414979e-01
1.389495494373136101e-03 1.951985084900924505e+02 2.057331791450207059e-01
2.511886431509576835e-03 1.311620239770913265e+01 3.966420152772425628e-02
4.540909610972469757e-03 4.171145938765711492e+00 1.663607712643554171e-02
8.208914159638244779e-03 4.557432962876032945e-01 4.089893023357145038e-03
1.483981788967563172e-02 4.490623085111443702e-01 3.019490570933353654e-03
2.682695795279721809e-02 1.441946318701934626e-01 1.272575310616911714e-03
1.692666615037872635e+00 5.304374246535640798e-04 9.716861796840297336e-06
