# time Ni NiV
3.111999999999999826e-11 1.095879088682989028e-02 7.040172010054356071e-07
3.169999999999999781e-11 1.360614541983151161e-02 1.825956934541385418e-07
3.216999999999999722e-11 1.351524693126263457e-02 1.843422150855620686e-06
3.220999999999999786e-11 1.360614550267623055e-02 1.825924252827580518e-07
3.294999999999999995e-11 1.371836828196436493e-02 1.327082510187141178e-07
3.304999999999999832e-11 1.351262612801149704e-02 2.867235857214973677e-07
3.328000000000000036e-11 1.638540536074505755e-02 2.963813250598482774e-07
3.343000000000000114e-11 1.632259952840862949e-02 3.213859404059155367e-07
3.406000000000000310e-11 1.629736388865567209e-02 3.969671747264916418e-07
3.460000000000000201e-11 1.622655542537337209e-02 7.103627578082200033e-07
3.504999999999999787e-11 1.633795568358670236e-02 5.718312614816113673e-07
3.511000000000000206e-11 1.632766723327047989e-02 7.807334284783154004e-07
3.558000000000000147e-11 1.633802297450495655e-02 5.710006506294687692e-07
3.642000000000000193e-11 1.623369392426746854e-02 8.757035420728869441e-07
3.671000000000000170e-11 1.900089284661031497e-02 1.674961285929215750e-07
3.738999999999999961e-11 1.882360024963880898e-02 1.521702389370689210e-06
3.745999999999999911e-11 2.175956396128157777e-02 1.764672693354570705e-06
3.755000000000000216e-11 2.169850456769546743e-02 3.651073651216185147e-06
3.817999999999999766e-11 2.175985173536377007e-02 1.765721440528037316e-06
3.872999999999999835e-11 2.155551139476448441e-02 2.324029111393555162e-06
3.973000000000000136e-11 2.163560288192719130e-02 3.565753173415083082e-06
4.065000000000000309e-11 2.152400755099129551e-02 4.072530673177893183e-06
4.209000000000000019e-11 2.185594296366110204e-02 4.898980564471271588e-06
4.232000000000000223e-11 2.188251192726541755e-02 5.290645223816245887e-06
4.262999999999999910e-11 2.171287169624076807e-02 4.970724688711598615e-06
4.280999999999999873e-11 2.170454561955111744e-02 5.022829925260839168e-06
4.356000000000000261e-11 2.167797805374853046e-02 4.981469118965932306e-06
4.504000000000000034e-11 2.170461778762357297e-02 5.020767200707080115e-06
4.542000000000000316e-11 2.177175884209798379e-02 5.284312776300529969e-06
4.603999999999999688e-11 2.166213985706485351e-02 4.884539453171033167e-06
4.633999999999999843e-11 2.185637401291495516e-02 5.464897971044051984e-06
4.662999999999999821e-11 2.188351436272912079e-02 5.468976739203004227e-06
4.757999999999999880e-11 2.167759240018918981e-02 5.050437807715612812e-06
4.868000000000000018e-11 2.164204606241523429e-02 5.352936505528007089e-06
4.938000000000000164e-11 2.431039335742503360e-02 3.683185305839428819e-06
4.982999999999999750e-11 2.426389981198364548e-02 7.440122632503010588e-06
5.065000000000000087e-11 2.431039164079426204e-02 3.682172789614605785e-06
5.128000000000000283e-11 2.447164326397291770e-02 3.145987214101777389e-06
5.220999999999999988e-11 2.442137986401391944e-02 3.152490966769741553e-06
5.306000000000000211e-11 2.447164318576315958e-02 3.145931147744195351e-06
5.444000000000000148e-11 2.432202599654263719e-02 4.038428793881843355e-06
5.487000000000000026e-11 2.426187049777545762e-02 6.447116841649397362e-06
5.573999999999999958e-11 2.427260077365842733e-02 1.080398098642087932e-05
