# bin_edges hist err
5.907837911587943396e-08 2.764167331145199000e+02 2.866307998549490677e+01
1.068000432514575467e-07 1.331752568466514504e+02 1.479725076073905043e+01
1.930697728883249708e-07 3.537897679104143549e+02 1.793785329027720010e+01
3.490254878959579243e-07 6.575494176418092138e+02 1.818823696143125446e+01
6.309573444801929638e-07 1.363103188053503345e+03 1.947687796521483250e+01
1.140624923851320228e-06 3.986265668205957809e+03 2.477231920151962186e+01
2.061986009502219260e-06 7.757872101749640024e+02 8.127994984412575619e+00
3.727593720314938057e-06 4.674242528778490851e+03 1.483871562534010025e+01
6.738627168030940877e-06 4.541752384347460975e+03 1.087879989789178303e+01
1.218187912010114744e-05 3.555967432450809611e+03 7.159401541808974478e+00
2.202201949987373474e-05 3.721241186603911501e+03 5.447162288301083954e+00
3.981071705534969458e-05 3.131574848171982921e+03 3.716519146549399633e+00
7.196856730011514085e-05 2.532853388373575399e+03 2.485928158614624461e+00
1.301025216910830151e-04 1.600057860958411993e+03 1.469535098077469737e+00
2.351952635070956471e-04 7.861309676950164658e+02 7.661047286331581496e-01
4.251786303382885782e-04 3.170876144297170640e+02 3.618752669197077276e-01
7.686246100397730154e-04 1.252777966144434316e+02 1.691744942090215309e-01
1.389495494373136101e-03 4.465399955227110951e+01 7.512017427297364158e-02
2.511886431509576835e-03 1.300811350913381581e+01 3.015519459290705306e-02
4.540909610972469757e-03 3.553908441530146956e+00 1.172294332281484559e-02
8.208914159638244779e-03 9.880133169188610731e-01 4.597201273728441367e-03
1.483981788967563172e-02 2.658910879612915723e-01 1.773750705427775591e-03
2.682695795279721809e-02 7.025870086823690630e-02 6.781399339721379304e-04
4.849693428528190769e-02 1.630775014408910109e-02 2.429936127092727184e-04
8.767123872968668463e-02 4.354239864974669347e-03 9.338617333258248917e-05
1.584893192461110933e-01 1.019290038993380526e-03 3.360499742195327034e-05
2.865120269663776198e-01 1.458626342805581912e-04 9.454870266778540405e-06
5.179474679231201861e-01 1.322174708735402441e-05 2.117173951175788014e-06
9.363292088239397737e-01 2.944293049424194359e-05 2.349801666774630099e-06
1.692666615037872635e+00 2.074763121245219820e-06 4.639311376313949233e-07
