# bin_edges hist err
5.907837911587943396e-08 1.019246584913594802e+02 7.207161718936330885e+01
1.930697728883249708e-07 1.403479470912010925e+02 4.678264903040036415e+01
3.490254878959579243e-07 1.897769133452071060e+02 4.046057387295476104e+01
6.309573444801929638e-07 3.674248841527306126e+02 4.187195160366086810e+01
1.140624923851320228e-06 5.648703209944549144e+02 3.861374020257135697e+01
2.061986009502219260e-06 2.029583514903961543e+02 1.721470269202504610e+01
3.727593720314938057e-06 5.565042574978000403e+02 2.120112371440541210e+01
6.738627168030940877e-06 4.441122950317778191e+02 1.408638663136728830e+01
1.218187912010114744e-05 4.295496081002681308e+02 1.030358696686879583e+01
2.202201949987373474e-05 4.343480866252914439e+02 7.706005334191787348e+00
3.981071705534969458e-05 4.578468782440414202e+02 5.884357485667418786e+00
7.196856730011514085e-05 4.488009302649464871e+02 4.333056640265829706e+00
1.301025216910830151e-04 4.429289429009464243e+02 3.201570673660107058e+00
2.351952635070956471e-04 4.316166555823646149e+02 2.350572940401548738e+00
4.251786303382885782e-04 3.995279725911531727e+02 1.682003138448238788e+00
7.686246100397730154e-04 3.677481646306991934e+02 1.200209429429338837e+00
1.389495494373136101e-03 2.081480383150145315e+02 6.715780761992142800e-01
2.511886431509576835e-03 5.790124581078589472e+01 2.634407016779651278e-01
4.540909610972469757e-03 1.481082567250984638e+01 9.909622870580749032e-02
8.208914159638244779e-03 3.493837514121348686e+00 3.579706456571994655e-02
1.483981788967563172e-02 8.685493450818186911e-01 1.327461344175580663e-02
2.682695795279721809e-02 2.611576761363896826e-01 5.413829868797604382e-03
4.849693428528190769e-02 5.196237742180716268e-02 1.796082510992164224e-03
8.767123872968668463e-02 7.280422091702810211e-03 5.000214421503960645e-04
1.584893192461110933e-01 1.652711668678720535e-03 1.771892896463144612e-04
2.865120269663776198e-01 1.050836099162376491e-05 1.050836099162376491e-05
5.179474679231201861e-01 1.860124893284463544e-04 3.288267314738368090e-05
9.363292088239397737e-01 3.344125816655461555e-04 3.279185152891462592e-05
1.692666615037872635e+00 1.156164868903715659e-04 1.434046026558393639e-05
