# bin_edges hist err
5.907837911587943396e-08 9.430134545793684708e+01 4.715067272896842354e+01
1.068000432514575467e-07 1.043289959159351667e+02 3.688587024327068775e+01
1.930697728883249708e-07 1.370647519551850166e+02 3.144481065758528260e+01
3.490254878959579243e-07 4.509285882676945221e+02 4.241979331341751447e+01
6.309573444801929638e-07 9.249121663238722704e+02 4.518491615313582344e+01
1.140624923851320228e-06 1.472620764515709652e+03 4.240501937735350424e+01
2.061986009502219260e-06 5.376675456929218626e+02 1.905712088423364747e+01
3.727593720314938057e-06 2.254940943383036938e+03 2.902662451831287171e+01
6.738627168030940877e-06 2.196265564346577776e+03 2.130590304864137252e+01
1.218187912010114744e-05 1.740722267247205991e+03 1.410752518259970856e+01
2.202201949987373474e-05 1.899703753981491445e+03 1.096118742137148416e+01
3.981071705534969458e-05 1.777081860701744972e+03 7.884913830941570723e+00
7.196856730011514085e-05 1.676687128323125307e+03 5.696365155615312759e+00
1.301025216910830151e-04 1.318738188418931486e+03 3.757332844488169066e+00
2.351952635070956471e-04 9.043385884980737046e+02 2.314165849176929690e+00
4.251786303382885782e-04 4.914295947166783094e+02 1.268785403583001958e+00
7.686246100397730154e-04 2.244216173102139749e+02 6.377029641598073173e-01
1.389495494373136101e-03 7.645398991948898981e+01 2.768310121970334881e-01
2.511886431509576835e-03 1.779273262153429869e+01 9.932636929299730466e-02
4.540909610972469757e-03 4.702034019556588618e+00 3.797647838731733200e-02
8.208914159638244779e-03 1.289479218145380246e+00 1.479134105708303053e-02
1.483981788967563172e-02 3.166671227487238838e-01 5.451681017158821127e-03
2.682695795279721809e-02 7.419032429855644539e-02 1.962597110321486708e-03
4.849693428528190769e-02 1.812180875167673094e-02 7.214178156315066920e-04
8.767123872968668463e-02 4.400571638756725287e-03 2.644047244196202494e-04
1.584893192461110933e-01 8.172772648150443929e-04 8.474770448146068229e-05
2.865120269663776198e-01 1.020852288810384804e-04 2.227682327067861381e-05
5.179474679231201861e-01 2.420155462095821005e-05 8.067184873652737248e-06
9.363292088239397737e-01 4.462509488328695109e-05 8.147390366128209565e-06
1.692666615037872635e+00 3.291357310770190002e-06 1.645678655385095001e-06
